Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Dennis Schroder,PG,67,67.0,31.0,19.4,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,2.3,17.41,7.5,17.1,43.6,1.1,3.9,29.0,3.4,4.0,84.9,6.3,13.2,48.0,1.135,0.47
Taurean Prince,PF,82,82.0,30.0,14.1,0.6,4.1,4.7,2.6,1.0,0.5,2.3,2.0,1.1,12.9,5.1,11.9,42.6,2.1,5.6,38.5,1.9,2.2,84.4,2.9,6.3,46.1,1.188,0.52
Kent Bazemore,SF,65,65.0,27.5,12.9,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,1.5,14.51,4.4,10.4,42.0,1.7,4.2,39.4,2.5,3.1,79.6,2.7,6.2,43.8,1.237,0.5
Marco Belinelli,G,52,1.0,23.3,11.4,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,1.9,14.18,3.8,9.3,41.0,1.8,4.8,37.2,1.9,2.1,92.7,2.1,4.6,45.0,1.219,0.51
Ersan Ilyasova,F,46,40.0,25.5,10.9,1.6,3.8,5.5,1.1,1.0,0.4,0.9,2.0,1.2,15.1,4.0,8.7,45.9,1.3,3.7,35.9,1.6,2.0,80.0,2.7,5.0,53.2,1.249,0.53
Damion Lee,SG,15,11.0,26.9,10.7,0.7,4.0,4.7,1.9,1.3,0.1,0.9,1.7,2.1,12.08,4.1,10.1,40.8,1.0,4.0,25.0,1.5,1.9,75.9,3.1,6.1,51.1,1.0590000000000002,0.46
John Collins,PF,74,26.0,24.1,10.5,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,0.9,18.33,4.2,7.4,57.6,0.2,0.6,34.0,1.8,2.5,71.5,4.0,6.7,59.8,1.426,0.59
Dewayne Dedmon,C,62,46.0,24.9,10.0,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,1.0,15.85,4.0,7.7,52.4,0.8,2.3,35.5,1.1,1.4,77.9,3.2,5.4,59.5,1.294,0.58
Mike Muscala,PF,53,7.0,20.0,7.6,1.1,3.3,4.3,1.0,0.6,0.5,0.8,1.5,1.2,14.39,2.7,5.9,45.8,1.2,3.2,37.1,1.1,1.2,91.9,1.5,2.7,55.9,1.298,0.56
Tyler Dorsey,G,56,5.0,17.4,7.2,0.3,2.0,2.3,1.4,0.3,0.1,0.7,1.1,2.1,10.05,2.6,6.8,37.7,1.3,3.6,36.2,0.8,1.1,71.4,1.3,3.3,39.3,1.06,0.47
Isaiah Taylor,G,67,9.0,17.4,6.6,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,2.5,10.94,2.4,5.8,41.8,0.3,1.2,25.0,1.5,2.1,70.2,2.1,4.6,46.1,1.141,0.44
