PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Carmelo Anthony,67,37.0,.560,8.3,8.5,32.2,6.1,15.9,10.8,24.83,530.8,17.7
Russell Westbrook,82,34.9,.532,22.8,10.2,31.2,4.8,11.8,8.6,23.98,554.4,18.5
Kobe Bryant,78,38.6,.570,17.9,10.9,30.0,2.5,13.1,7.9,23.10,566.4,18.9
Kyrie Irving,59,34.7,.553,20.1,11.0,29.2,1.8,10.8,6.1,21.51,321.3,10.7
John Wall,49,32.7,.521,26.7,11.2,28.7,2.4,11.2,6.8,20.91,236.9,7.9
LeBron James,76,37.9,.640,23.3,9.6,28.2,4.4,20.8,13.1,31.67,909.0,30.3
Eric Gordon,42,30.1,.523,14.6,12.5,27.8,0.9,6.4,3.6,15.43,92.9,3.1
Kevin Durant,81,38.5,.647,15.5,11.6,27.4,1.8,20.3,11.8,28.35,830.8,27.7
James Harden,78,38.3,.600,18.7,12.1,27.4,2.4,11.9,7.2,23.00,556.9,18.6
Dwyane Wade,69,34.7,.571,19.3,10.6,27.0,4.7,12.6,8.9,24.04,483.1,16.1
Rudy Gay,75,35.8,.494,11.3,11.1,26.7,4.3,16.3,10.2,15.66,207.1,6.9
Tony Parker,66,32.9,.588,27.6,9.4,26.6,1.0,9.1,5.3,23.10,392.7,13.1
Will Bynum,65,18.8,.532,24.2,13.1,26.6,2.6,6.6,4.6,16.62,102.2,3.4
Kevin Love,18,34.3,.458,9.5,8.8,26.5,11.5,35.9,23.3,17.97,59.6,2.0
Jrue Holiday,78,37.5,.496,27.0,12.6,26.2,3.3,9.5,6.4,16.74,250.5,8.4
Brook Lopez,74,30.4,.567,4.8,8.9,26.1,10.8,16.1,13.4,24.81,477.8,15.9
DeMarcus Cousins,75,30.5,.524,12.1,13.7,25.9,10.9,27.0,18.7,20.21,328.3,10.9
Ben Gordon,75,20.8,.515,12.9,12.4,25.7,1.3,8.5,4.8,12.74,52.2,1.7
Monta Ellis,82,37.5,.493,21.1,10.8,25.5,1.5,9.8,5.5,16.30,243.3,8.1
Michael Beasley,75,20.7,.462,10.3,13.4,25.4,3.7,17.2,10.3,10.91,9.6,0.3
Stephen Curry,78,38.2,.589,23.5,10.5,25.3,2.3,9.1,5.8,21.34,460.2,15.3
Paul Pierce,77,33.4,.559,19.9,11.5,25.2,2.1,19.7,11.2,19.14,332.1,11.1
Deron Williams,78,36.4,.574,28.6,10.3,24.9,1.2,8.5,4.8,20.38,397.8,13.3
Tim Duncan,69,30.1,.554,12.8,10.2,24.8,7.3,29.6,19.1,24.45,401.7,13.4
Kemba Walker,82,34.9,.517,22.7,9.6,24.8,2.3,9.2,5.7,18.86,335.5,11.2
Nate Robinson,82,25.4,.540,23.9,9.6,24.8,1.6,8.6,5.1,17.43,200.1,6.7
Dion Waiters,61,28.8,.492,15.1,10.0,24.7,1.4,8.8,4.9,13.77,85.8,2.9
Josh Smith,76,35.3,.501,17.2,12.1,24.6,5.8,21.3,13.6,17.82,293.0,9.8
Andray Blatche,82,19.0,.547,8.7,12.6,24.6,12.2,19.6,15.8,21.98,264.0,8.8
J.J. Barea,74,23.1,.510,23.4,11.5,24.5,2.2,11.9,6.9,14.16,80.7,2.7
Ramon Sessions,61,27.1,.529,19.8,8.9,24.5,1.8,10.1,5.9,17.80,167.6,5.6
JR Smith,80,33.5,.522,12.5,7.7,24.4,2.7,16.3,9.3,17.67,286.7,9.6
LaMarcus Aldridge,74,37.7,.530,10.6,7.9,24.2,7.2,20.9,14.0,20.45,372.6,12.4
Marreese Speights,79,16.5,.498,6.0,10.2,24.2,12.7,22.3,17.3,17.35,113.4,3.8
Jamal Crawford,76,29.3,.558,13.2,10.0,24.2,1.2,5.6,3.4,16.89,212.7,7.1
Greivis Vasquez,78,34.4,.502,34.7,12.2,24.2,1.9,13.3,7.5,16.34,214.1,7.1
Carlos Boozer,79,32.2,.510,11.1,10.9,24.1,7.8,27.2,17.4,17.17,215.4,7.2
Manu Ginobili,60,23.2,.560,26.5,12.7,24.0,2.6,13.4,8.3,19.05,177.7,5.9
Blake Griffin,80,32.5,.572,17.2,10.6,24.0,8.7,21.5,15.2,22.44,424.3,14.1
Chris Paul,70,33.4,.594,36.9,8.7,23.9,2.8,10.5,6.7,26.43,537.7,17.9
Richard Hamilton,50,21.8,.481,16.7,11.8,23.9,1.7,7.2,4.4,10.65,2.4,0.1
Damian Lillard,82,38.6,.546,24.1,11.0,23.5,1.5,8.0,4.7,16.45,257.6,8.6
Greg Monroe,81,33.2,.527,16.1,13.4,23.5,9.9,23.6,16.6,19.52,357.7,11.9
Jeremy Pargo,39,16.8,.478,21.9,11.9,23.4,1.3,7.5,4.3,10.46,0.0,0.0
Brandon Jennings,80,36.2,.510,24.9,9.7,23.4,2.1,7.2,4.6,16.20,224.8,7.5
Al Jefferson,78,33.1,.522,10.2,6.6,23.4,7.0,25.9,16.3,20.99,399.8,13.3
Glen Davis,34,31.3,.483,10.6,9.6,23.2,5.8,20.3,13.1,15.09,57.0,1.9
David West,73,33.4,.545,14.0,10.3,23.0,6.8,18.8,12.9,20.15,314.2,10.5
Amar'e Stoudemire,29,23.5,.637,3.4,12.9,22.8,10.0,15.1,12.4,22.16,108.5,3.6
Jeff Teague,80,32.9,.543,30.8,12.2,22.7,1.1,6.7,3.9,16.82,228.4,7.6
