PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Brandon Jennings,81,22.2,.479,35.1,11.4,19.4,1.7,10.1,5.9,12.09,29.2,1.0
Derrick Favors,50,23.7,.512,9.6,10.3,19.3,9.2,20.2,14.9,15.88,77.5,2.6
Serge Ibaka,79,30.7,.566,6.2,8.6,19.3,5.8,19.0,12.2,16.46,179.4,6.0
Devin Harris,65,16.7,.549,23.0,9.6,19.3,1.1,13.0,6.8,13.84,46.1,1.5
Ivica Zubac,38,16.0,.547,9.4,9.4,19.3,7.1,21.9,14.3,17.02,58.4,1.9
Markieff Morris,76,31.2,.540,10.2,10.4,19.3,5.1,18.2,11.7,13.75,79.6,2.7
Danilo Gallinari,63,33.9,.622,11.9,7.2,19.2,2.0,14.7,8.4,17.41,220.2,7.3
Aaron Brooks,65,13.8,.507,24.6,12.8,19.1,2.3,6.3,4.3,9.62,-18.5,-0.6
Jeff Green,69,22.2,.505,10.3,9.5,19.1,2.7,12.8,7.6,10.57,1.7,0.1
Aaron Gordon,80,28.7,.530,12.5,7.4,19.1,5.3,14.1,9.6,14.52,103.4,3.4
Buddy Hield,82,23.0,.541,11.8,9.9,19.0,2.0,13.6,7.8,11.89,39.3,1.3
Nikola Mirotic,70,24.0,.546,9.0,9.6,18.9,3.9,20.9,12.3,14.54,76.1,2.5
Marcus Smart,79,30.4,.486,26.3,11.5,18.9,3.7,10.4,7.1,12.07,38.4,1.3
Ersan Ilyasova,82,26.1,.546,11.3,9.3,18.8,0.0,0.0,0.0,14.65,100.8,3.4
Malcolm Brogdon,75,26.4,.555,28.3,10.1,18.7,2.8,9.6,6.3,14.90,130.3,4.3
Deron Williams,64,25.9,.541,31.4,12.0,18.7,0.9,9.4,5.1,14.02,74.7,2.5
Kentavious Caldwell-Pope,76,33.3,.519,15.0,6.7,18.7,2.3,8.7,5.3,12.90,90.4,3.0
Malcolm Delaney,73,17.1,.456,26.9,13.3,18.6,0.9,9.8,5.4,7.56,-64.1,-2.1
Ben McLemore,61,19.3,.538,8.9,10.8,18.6,1.9,10.6,6.3,9.87,-11.0,-0.4
Seth Curry,70,29.0,.601,18.3,9.0,18.6,1.4,9.3,5.1,15.52,152.0,5.1
Mindaugas Kuzminskas,68,14.9,.534,13.3,9.8,18.6,5.0,8.4,6.7,12.45,29.6,1.0
Clint Capela,65,23.9,.638,8.0,11.0,18.6,12.5,24.5,18.5,21.48,251.8,8.4
Nene,67,17.9,.630,10.5,11.7,18.6,8.6,17.0,12.8,18.91,148.7,5.0
Cory Joseph,80,25.0,.518,24.4,9.9,18.5,2.9,10.4,6.6,13.22,66.4,2.2
Marquese Chriss,82,21.3,.529,6.8,12.3,18.5,5.8,16.1,10.8,12.38,22.8,0.8
Ian Clark,77,14.8,.575,14.9,9.1,18.5,2.3,9.1,5.9,13.22,46.2,1.5
