Name,DD
Andre Drummond,69
Rudy Gobert,66
Nikola Vucevic,60
Joel Embiid,58
Russell Westbrook,57
Nikola Jokic,56
Giannis Antetokounmpo,54
Karl-Anthony Towns,54
Clint Capela,45
DeAndre Jordan,42
Ben Simmons,42
Deandre Ayton,39
Anthony Davis,37
Jusuf Nurkic,36
Hassan Whiteside,36
James Harden,34
LaMarcus Aldridge,32
John Collins,32
LeBron James,32
Enes Kanter,32
Julius Randle,31
Domantas Sabonis,30
Trae Young,30
Steven Adams,29
Jarrett Allen,24
Luka Doncic,24
Paul George,24
Willie Cauley-Stein,22
Serge Ibaka,22
Blake Griffin,21
Kyrie Irving,21
Kyle Lowry,20
Lauri Markkanen,20
Marvin Bagley III,19
Marc Gasol,19
Aaron Gordon,19
Tristan Thompson,19
Jrue Holiday,18
Larry Nance Jr.,18
Chris Paul,18
Pascal Siakam,18
Noah Vonleh,18
Montrezl Harrell,17
Myles Turner,17
Kevin Durant,16
De'Aaron Fox,16
Jonas Valanciunas,16
Derrick Favors,15
Tobias Harris,15
Thomas Bryant,14
Kenneth Faried,14
Kawhi Leonard,14
JaVale McGee,14
Paul Millsap,14
Bobby Portis,14
Rajon Rondo,14
D'Angelo Russell,14
Taj Gibson,13
Damian Lillard,13
Al-Farouq Aminu,12
Devin Booker,12
DeMar DeRozan,12
Kevin Love,12
Bam Adebayo,11
Bradley Beal,11
Dewayne Dedmon,11
Nikola Mirotic,11
Mitchell Robinson,11
Jeff Teague,11
Mike Conley,10
DeMarcus Cousins,10
Cheick Diallo,10
Al Horford,10
Elfrid Payton,10
Kemba Walker,10
John Wall,10
Thaddeus Young,10
Nemanja Bjelica,9
Rudy Gay,9
Alex Len,9
Mason Plumlee,9
Eric Bledsoe,8
Draymond Green,8
Jabari Parker,8
Jayson Tatum,8
Ivica Zubac,8
Wendell Carter Jr.,7
Danilo Gallinari,7
Joe Ingles,7
Jeremy Lamb,7
Khris Middleton,7
Ricky Rubio,7
Tomas Satoransky,7
Lou Williams,7
Patrick Beverley,6
Darren Collison,6
Ed Davis,6
JaMychal Green,6
Boban Marjanovic,6
Jahlil Okafor,6
Otto Porter Jr.,6
Dwight Powell,6
Justise Winslow,6
Trevor Ariza,5
Dragan Bender,5
Richaun Holmes,5
Tyus Jones,5
Marcus Morris Sr.,5
Victor Oladipo,5
Marvin Williams,5
D.J. Augustin,4
Lonzo Ball,4
Harrison Barnes,4
Goran Dragic,4
Tim Frazier,4
Jerami Grant,4
Josh Hart,4
Juancho Hernangomez,4
Willy Hernangomez,4
Rondae Hollis-Jefferson,4
Kyle Kuzma,4
Jamal Murray,4
Joakim Noah,4
Kelly Olynyk,4
Ivan Rabb,4
Omari Spellman,4
Dwyane Wade,4
Delon Wright,4
Cody Zeller,4
Ante Zizic,4
J.J. Barea,3
Aron Baynes,3
DeAndre' Bembry,3
Bismack Biyombo,3
Jalen Brunson,3
Jimmy Butler,3
Bruno Caboclo,3
DeMarre Carroll,3
Alex Caruso,3
Tyson Chandler,3
Jae Crowder,3
Stephen Curry,3
Dorian Finney-Smith,3
Buddy Hield,3
Justin Holiday,3
Dwight Howard,3
Ersan Ilyasova,3
Jonathan Isaac,3
Maxi Kleber,3
Kevin Knox II,3
Cedi Osman,3
Kelly Oubre Jr.,3
Dario Saric,3
Dennis Schroder,3
P.J. Tucker,3
Evan Turner,3
Andrew Wiggins,3
Johnathan Williams,3
Kyle Anderson,2
Jerryd Bayless,2
Jaylen Brown,2
Bonzie Colson,2
Robert Covington,2
Torrey Craig,2
Gorgui Dieng,2
Spencer Dinwiddie,2
Kris Dunn,2
Jeff Green,2
Tim Hardaway Jr.,2
Maurice Harkless,2
Gordon Hayward,2
Brandon Ingram,2
Josh Jackson,2
Jaren Jackson Jr.,2
Frank Kaminsky,2
Rodions Kurucs,2
Zach LaVine,2
Meyers Leonard,2
Brook Lopez,2
Robin Lopez,2
Rodney McGruder,2
Markieff Morris,2
Nerlens Noel,2
Collin Sexton,2
Dennis Smith Jr.,2
Allonzo Trier,2
D.J. Wilson,2
Christian Wood,2
Justin Anderson,1
Mo Bamba,1
Will Barton,1
Marco Belinelli,1
Khem Birch,1
Jaron Blossomgame,1
Bogdan Bogdanovic,1
Jonah Bolden,1
Chris Boucher,1
Tony Bradley,1
Miles Bridges,1
Trey Burke,1
Alec Burks,1
Marquese Chriss,1
Jordan Clarkson,1
Pat Connaughton,1
Allen Crabbe,1
Damyean Dotson,1
PJ Dozier,1
Tyreke Evans,1
Dante Exum,1
Bryn Forbes,1
Evan Fournier,1
Pau Gasol,1
Shai Gilgeous-Alexander,1
Marcin Gortat,1
Danny Green,1
Shaquille Harrison,1
Udonis Haslem,1
Mario Hezonja,1
Kevin Huerter,1
Chandler Hutchison,1
Jonas Jerebko,1
Jemerrio Jones,1
Cory Joseph,1
Michael Kidd-Gilchrist,1
Luke Kornet,1
Skal Labissiere,1
Jake Layman,1
T.J. Leaf,1
Jeremy Lin,1
Kevon Looney,1
Timothe Luwawu-Cabarrot,1
Ian Mahinmi,1
CJ McCollum,1
Alfonzo McKinnie,1
Salah Mejri,1
Donovan Mitchell,1
Monte Morris,1
Emmanuel Mudiay,1
Mike Muscala,1
Shabazz Napier,1
Dirk Nowitzki,1
Royce O'Neale,1
Kyle O'Quinn,1
Josh Okogie,1
Tony Parker,1
Jakob Poeltl,1
JJ Redick,1
Josh Richardson,1
Derrick Rose,1
Terry Rozier,1
Thabo Sefolosha,1
Wayne Selden,1
Marcus Smart,1
Ray Spalding,1
Lance Stephenson,1
Caleb Swanigan,1
Daniel Theis,1
Ekpe Udoh,1
Fred VanVleet,1
Kenrich Williams,1
