Name,DD
Karl-Anthony Towns,68
Andre Drummond,62
Russell Westbrook,59
Dwight Howard,53
LeBron James,52
Anthony Davis,50
DeAndre Jordan,46
Giannis Antetokounmpo,42
Clint Capela,42
Enes Kanter,39
DeMarcus Cousins,38
Joel Embiid,38
Nikola Jokic,38
Ben Simmons,38
Rudy Gobert,31
James Harden,31
Kevin Love,31
Nikola Vucevic,29
Steven Adams,28
Julius Randle,28
Hassan Whiteside,28
LaMarcus Aldridge,27
Jusuf Nurkic,27
Jonas Valanciunas,26
Marc Gasol,25
Draymond Green,23
Kyle Lowry,23
John Wall,19
Taj Gibson,18
Aaron Gordon,17
Kyle Kuzma,17
Pau Gasol,16
JaMychal Green,16
Blake Griffin,16
Dewayne Dedmon,15
Kevin Durant,15
Derrick Favors,15
Marcin Gortat,15
Al Horford,15
Rajon Rondo,15
Domantas Sabonis,15
Lauri Markkanen,14
Chris Paul,14
Lonzo Ball,13
DeMarre Carroll,13
Otto Porter Jr.,13
Dario Saric,13
Jeff Teague,13
Willie Cauley-Stein,12
Rondae Hollis-Jefferson,12
Alex Len,12
Nikola Mirotic,12
Bobby Portis,12
John Collins,11
Damian Lillard,11
Larry Nance Jr.,11
Ricky Rubio,11
Myles Turner,11
Michael Beasley,10
John Henson,10
Al-Farouq Aminu,9
Greg Monroe,9
Thaddeus Young,9
Harrison Barnes,8
Josh Hart,8
Jrue Holiday,8
Serge Ibaka,8
Kyle O'Quinn,8
Elfrid Payton,8
Zach Randolph,8
Bam Adebayo,7
Nicolas Batum,7
Bismack Biyombo,7
Robert Covington,7
Spencer Dinwiddie,7
Tyreke Evans,7
Ersan Ilyasova,7
Dejounte Murray,7
Kelly Olynyk,7
Lou Williams,7
Kyle Anderson,6
Carmelo Anthony,6
J.J. Barea,6
Darren Collison,6
Ed Davis,6
Brandon Ingram,6
James Johnson,6
Kosta Koufos,6
Trey Lyles,6
Dennis Smith Jr.,6
T.J. Warren,6
Marquese Chriss,5
Stephen Curry,5
Jerian Grant,5
Josh Jackson,5
Khris Middleton,5
Markieff Morris,5
Dirk Nowitzki,5
Kristaps Porzingis,5
Dwight Powell,5
Taurean Prince,5
D'Angelo Russell,5
Dennis Schroder,5
Denzel Valentine,5
Jarrett Allen,4
Aron Baynes,4
Bradley Beal,4
Devin Booker,4
Trevor Booker,4
Kentavious Caldwell-Pope,4
Tyson Chandler,4
Wilson Chandler,4
Kris Dunn,4
Paul George,4
Willy Hernangomez,4
Joe Ingles,4
Brook Lopez,4
Jakob Poeltl,4
Jayson Tatum,4
Tyler Ulis,4
Dragan Bender,3
Khem Birch,3
Eric Bledsoe,3
Trey Burke,3
Jimmy Butler,3
Omri Casspi,3
Cheick Diallo,3
Goran Dragic,3
Kenneth Faried,3
Cristiano Felicio,3
Yogi Ferrell,3
De'Aaron Fox,3
Tobias Harris,3
Jarrett Jack,3
Skal Labissiere,3
Caris LeVert,3
Robin Lopez,3
David Nwaba,3
Victor Oladipo,3
Jabari Parker,3
Mason Plumlee,3
Ivan Rabb,3
Ish Smith,3
Lance Stephenson,3
Tristan Thompson,3
P.J. Tucker,3
Noah Vonleh,3
Dwyane Wade,3
Kemba Walker,3
Marvin Williams,3
Ryan Anderson,2
D.J. Augustin,2
Will Barton,2
Tarik Black,2
Jaylen Brown,2
Gorgui Dieng,2
Damyean Dotson,2
Jerami Grant,2
Tim Hardaway Jr.,2
Joe Harris,2
Mario Hezonja,2
Justin Holiday,2
Stanley Johnson,2
Michael Kidd-Gilchrist,2
Jarell Martin,2
T.J. McConnell,2
Paul Millsap,2
Eric Moreland,2
Marcus Morris Sr.,2
Mike Muscala,2
Nerlens Noel,2
Zaza Pachulia,2
Thabo Sefolosha,2
Daniel Theis,2
Klay Thompson,2
Justise Winslow,2
Trevor Ariza,1
Jordan Bell,1
Nemanja Bjelica,1
Malcolm Brogdon,1
Mario Chalmers,1
Jordan Clarkson,1
Kyle Collinsworth,1
Dante Cunningham,1
Deyonta Davis,1
Henry Ellenson,1
Tyler Ennis,1
James Ennis III,1
Dorian Finney-Smith,1
Markelle Fultz,1
Rudy Gay,1
Jeff Green,1
Shaquille Harrison,1
Richaun Holmes,1
Kyrie Irving,1
Al Jefferson,1
Brandon Jennings,1
Amir Johnson,1
Wesley Johnson,1
Cory Joseph,1
Luke Kennard,1
Maxi Kleber,1
Luke Kornet,1
Shane Larkin,1
Joffrey Lauvergne,1
Courtney Lee,1
Shelvin Mack,1
Ian Mahinmi,1
Boban Marjanovic,1
CJ McCollum,1
Salah Mejri,1
Johnathan Motley,1
Emmanuel Mudiay,1
Jamal Murray,1
Frank Ntilikina,1
Royce O'Neale,1
Cameron Payne,1
Gary Payton II,1
Miles Plumlee,1
Willie Reed,1
Terry Rozier,1
Marreese Speights,1
Anthony Tolliver,1
Andrew Wiggins,1
Delon Wright,1
Cody Zeller,1
Ivica Zubac,1
