PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Russell Westbrook,67,34.4,.536,21.9,11.2,38.2,5.9,16.7,11.4,29.12,622.6,20.8
Kobe Bryant,35,34.5,.477,17.2,11.2,33.6,2.3,16.5,9.1,17.69,129.5,4.3
Dwyane Wade,62,31.8,.534,17.0,11.9,32.6,3.6,9.6,6.7,21.44,321.8,10.7
LeBron James,69,36.1,.577,22.3,11.9,31.8,2.4,16.6,9.6,26.01,577.3,19.2
DeMarcus Cousins,59,34.1,.545,11.9,14.4,31.8,10.8,30.6,21.1,25.29,441.2,14.7
Isaiah Thomas,67,25.8,.580,20.6,10.4,31.3,2.1,7.7,4.9,20.63,248.1,8.3
Derrick Rose,51,30.0,.493,18.9,12.1,30.7,2.6,8.7,5.7,15.94,112.9,3.8
James Harden,81,36.8,.605,20.8,11.8,30.5,2.8,14.2,8.5,26.76,723.4,24.1
Carmelo Anthony,40,35.7,.531,10.9,7.9,29.9,5.7,16.0,10.7,21.58,236.1,7.9
Reggie Jackson,77,29.5,.511,26.6,10.7,29.9,2.6,12.9,7.8,17.24,211.2,7.0
Tony Wroten,30,29.8,.494,20.0,14.4,29.7,2.5,8.1,5.2,14.96,59.6,2.0
Stephen Curry,80,32.7,.638,26.3,10.6,28.5,2.4,11.4,7.0,28.06,665.2,22.2
Kevin Durant,27,33.8,.633,15.1,10.2,28.0,1.9,18.7,10.4,27.65,233.7,7.8
LaMarcus Aldridge,71,35.4,.528,6.8,6.7,27.6,7.7,22.9,15.5,22.85,425.4,14.2
Brandon Jennings,41,28.6,.522,28.1,9.3,27.1,1.9,8.0,4.8,19.74,153.1,5.1
Blake Griffin,67,35.2,.551,19.3,8.3,27.0,6.1,17.9,12.1,22.86,399.5,13.3
Ish Smith,55,15.1,.431,27.7,12.0,26.8,1.9,11.5,6.5,12.31,16.2,0.5
John Wall,79,35.9,.523,32.7,12.6,26.8,1.5,12.8,7.3,19.92,377.8,12.6
DeMar DeRozan,60,35.0,.510,13.7,9.0,26.7,2.3,12.9,7.6,17.46,218.2,7.3
Dennis Schroder,77,19.7,.516,26.2,12.4,26.4,2.3,9.9,6.2,15.74,107.1,3.6
Marreese Speights,76,15.9,.546,8.2,9.3,26.3,10.1,18.7,14.5,19.58,161.8,5.4
Damian Lillard,82,35.7,.560,22.4,9.8,26.3,1.8,11.8,6.9,20.79,427.6,14.3
Monta Ellis,80,33.7,.509,16.3,9.8,26.3,1.4,6.4,3.9,16.59,245.1,8.2
Tyreke Evans,79,34.1,.508,25.3,11.9,26.2,3.5,14.1,8.8,17.77,292.0,9.7
Gerald Green,74,19.5,.532,8.9,10.1,26.1,2.5,11.7,7.0,15.47,107.3,3.6
Anthony Davis,68,36.1,.591,9.1,5.8,25.9,8.0,24.1,16.1,30.89,710.6,23.7
Chris Bosh,44,35.4,.548,9.2,9.2,25.9,3.6,20.0,12.0,19.87,215.2,7.2
Brandon Knight,63,32.3,.543,21.9,12.6,25.8,1.6,12.0,6.8,17.17,187.3,6.2
Jamal Crawford,64,26.6,.532,13.2,7.7,25.5,1.2,6.9,4.1,16.71,157.8,5.3
Kyrie Irving,75,36.4,.583,19.7,9.4,25.5,2.3,7.5,5.0,21.57,430.8,14.4
Klay Thompson,77,31.9,.591,12.5,8.4,25.5,1.2,9.4,5.4,20.86,379.5,12.6
Rudy Gay,68,35.4,.555,14.5,10.6,25.4,4.8,13.7,9.4,19.76,332.7,11.1
Gordon Hayward,76,34.4,.567,17.3,11.4,25.4,2.4,14.0,8.2,20.24,380.6,12.7
Michael Carter-Williams,66,32.6,.461,25.4,14.5,25.4,3.2,15.3,9.1,14.13,100.5,3.3
Kyle Lowry,70,34.5,.527,25.9,9.5,25.3,2.6,13.1,7.8,19.33,300.2,10.0
Jeff Teague,73,30.5,.566,29.4,11.7,25.2,1.6,7.7,4.7,20.64,320.5,10.7
Lou Williams,80,25.2,.564,12.0,7.4,25.2,1.4,7.3,4.3,19.90,282.9,9.4
Josh Smith,83,27.7,.467,17.5,13.0,25.1,7.2,18.3,12.6,14.92,151.6,5.1
Kemba Walker,62,34.2,.486,20.9,6.6,25.0,1.8,9.9,5.7,17.66,210.7,7.0
Kevin Martin,39,33.4,.549,10.2,8.7,24.9,1.6,11.1,6.2,16.73,121.0,4.0
Chris Paul,82,34.8,.596,35.8,8.1,24.8,2.1,12.5,7.4,26.04,641.3,21.4
Andrea Bargnani,29,27.1,.527,9.3,8.5,24.4,4.6,14.4,9.3,16.71,71.6,2.4
Aaron Brooks,82,23.0,.534,19.9,12.0,24.4,1.9,7.5,4.8,14.49,98.1,3.3
Al Jefferson,65,30.6,.500,8.9,5.4,24.1,5.3,25.5,15.1,19.75,272.1,9.1
Charlie Villanueva,64,10.6,.534,4.5,6.6,24.0,4.8,19.3,12.1,17.50,60.7,2.0
Nick Young,42,23.8,.520,6.5,7.0,23.9,1.8,9.1,5.3,14.27,56.2,1.9
Tony Parker,68,28.7,.539,24.2,10.5,23.9,0.9,6.5,3.7,15.94,143.9,4.8
Victor Oladipo,72,35.7,.527,17.1,11.8,23.9,2.2,11.2,6.6,15.98,210.6,7.0
Nikola Vucevic,74,34.2,.548,9.2,9.3,23.8,10.4,26.0,18.1,21.62,416.0,13.9
Brook Lopez,72,29.2,.558,4.0,8.2,23.7,11.5,17.1,14.3,22.76,381.2,12.7
Jrue Holiday,40,32.6,.522,29.4,9.8,23.7,2.8,9.0,5.9,18.82,152.0,5.1
Trey Burke,76,30.1,.455,21.6,8.2,23.6,1.6,8.7,5.2,12.64,56.1,1.9
George Hill,43,29.5,.579,24.8,7.8,23.6,2.2,13.3,7.8,21.52,199.0,6.6
Manu Ginobili,70,22.7,.544,26.0,13.7,23.5,2.0,12.8,7.5,16.20,135.1,4.5
Marc Gasol,81,33.2,.558,17.6,10.1,23.5,4.9,21.8,13.4,21.73,446.4,14.9
Mo Williams,68,29.1,.512,27.6,11.2,23.4,1.2,8.9,4.9,15.48,132.3,4.4
Shabazz Muhammad,38,22.8,.556,8.2,6.5,23.4,8.1,12.4,10.2,19.99,122.6,4.1
Eric Bledsoe,81,34.6,.555,24.6,13.7,23.4,2.8,13.9,8.3,18.47,312.3,10.4
Mike Conley,70,31.8,.558,24.6,10.2,23.4,1.5,9.2,5.4,18.61,252.6,8.4
Pau Gasol,78,34.4,.550,12.5,9.4,23.2,9.2,27.6,18.6,22.73,449.2,15.0
Amar'e Stoudemire,59,21.1,.595,6.5,11.2,23.2,9.8,20.4,15.0,20.40,182.2,6.1
D.J. Augustin,82,24.0,.527,28.6,11.7,23.1,1.1,7.9,4.4,13.92,85.4,2.8
Alexey Shved,42,18.3,.541,19.1,8.6,22.9,0.0,0.0,0.0,19.51,97.5,3.2
Dion Waiters,80,27.6,.460,12.6,8.7,22.9,2.1,7.4,4.8,10.93,14.1,0.5
Dirk Nowitzki,77,29.6,.560,10.1,5.8,22.9,2.1,19.9,11.0,19.26,264.2,8.8
Greg Monroe,69,31.0,.549,11.0,11.5,22.7,11.2,25.1,17.9,21.26,311.4,10.4
Deron Williams,68,31.1,.504,30.3,10.4,22.6,1.5,11.0,6.3,15.73,149.3,5.0
Nate Robinson,42,14.1,.432,24.1,7.5,22.6,3.1,6.2,4.6,10.60,0.0,0.0
Zach Randolph,71,32.5,.538,11.2,11.4,22.5,11.2,25.8,18.5,19.54,276.4,9.2
Jordan Clarkson,59,25.0,.528,21.3,9.9,22.5,4.0,10.5,7.1,16.94,130.9,4.4
O.J. Mayo,71,23.9,.529,18.1,11.8,22.5,2.0,10.5,6.3,13.60,78.4,2.6
Rodney Stuckey,71,26.4,.528,18.5,9.9,22.4,2.1,12.4,7.3,15.48,125.3,4.2
Jarrett Jack,80,28.0,.522,25.2,12.9,22.3,1.0,11.3,6.1,14.64,121.7,4.1
Tim Hardaway Jr.,70,24.0,.512,12.8,8.2,22.3,0.8,10.2,5.4,12.12,40.6,1.4
Derrick Favors,74,30.8,.558,8.6,9.3,22.3,10.0,20.7,15.4,21.86,352.4,11.7
Enes Kanter,75,28.5,.564,4.5,11.8,22.2,14.7,20.5,17.6,20.36,310.9,10.4
Jared Sullinger,58,27.0,.503,13.7,8.0,22.2,10.1,20.9,15.4,17.93,150.3,5.0
Michael Beasley,24,21.0,.474,10.9,12.7,22.2,2.9,17.9,10.6,10.71,1.6,0.1
Ty Lawson,75,35.5,.526,36.2,9.3,22.1,1.6,8.1,4.7,18.50,298.5,9.9
Paul Millsap,73,32.7,.565,15.2,11.3,22.1,6.9,20.0,13.6,20.10,306.8,10.2
Marcus Thornton,48,15.0,.514,8.3,6.2,22.1,3.4,9.7,6.5,15.06,49.1,1.6
Carlos Boozer,71,23.8,.517,9.5,9.2,22.0,7.0,25.2,15.7,16.50,126.2,4.2
Jeremy Lin,74,25.8,.539,26.5,13.0,22.0,1.5,10.2,5.7,15.65,132.5,4.4
Thomas Robinson,54,14.8,.502,8.3,14.8,22.0,12.6,28.5,20.5,15.29,45.2,1.5
Jeff Green,78,31.5,.534,10.0,8.1,21.9,2.9,12.1,7.5,14.48,145.8,4.9
Archie Goodwin,41,13.0,.486,13.4,14.6,21.9,5.5,9.7,7.6,11.28,6.2,0.2
C.J. Miles,70,26.3,.525,7.2,7.0,21.8,1.1,11.7,6.4,14.18,101.0,3.4
Ricky Rubio,22,31.5,.452,38.0,12.6,21.7,3.0,18.1,10.3,15.24,43.8,1.5
Markieff Morris,82,31.5,.523,12.3,10.9,21.7,4.6,17.0,10.7,15.81,166.0,5.5
Zach LaVine,77,24.7,.515,22.6,15.8,21.7,1.6,11.6,6.4,11.31,8.9,0.3
Goran Dragic,78,33.8,.577,21.5,10.6,21.6,3.5,8.3,5.9,17.47,274.4,9.1
Ryan Anderson,61,27.5,.524,6.0,6.8,21.5,7.3,12.7,10.0,15.69,104.7,3.5
Kawhi Leonard,64,31.8,.567,13.5,8.1,21.4,4.8,20.6,12.9,22.09,351.8,11.7
Dwight Howard,41,29.8,.596,7.1,16.3,21.4,10.0,28.9,19.5,19.31,159.0,5.3
J.J. Barea,77,17.7,.502,28.9,7.7,21.3,1.8,9.0,5.4,15.14,84.2,2.8
Nikola Mirotic,82,20.2,.556,10.4,9.5,21.3,4.3,21.8,13.3,17.93,158.7,5.3
Nikola Pekovic,31,26.3,.502,6.0,9.3,21.2,12.1,21.0,16.4,16.69,74.0,2.5
Bradley Beal,63,33.4,.521,15.6,9.9,21.2,3.1,9.6,6.4,14.02,110.7,3.7
Luis Scola,81,20.5,.515,11.2,10.0,21.2,9.3,25.6,17.5,16.84,132.2,4.4
Jordan Hill,70,26.8,.494,9.7,10.0,21.2,9.9,23.4,16.4,16.21,156.8,5.2
