PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Andrew Wiggins,82,36.2,.517,10.1,10.5,21.1,5.0,9.5,7.2,13.97,153.6,5.1
Jameer Nelson,63,22.3,.503,28.7,12.4,21.0,0.0,0.0,0.0,12.14,23.9,0.8
Tim Duncan,77,28.9,.560,17.5,9.9,21.0,8.8,26.7,17.9,22.69,371.9,12.4
Patty Mills,51,15.7,.496,18.3,7.4,20.9,3.0,7.5,5.3,13.10,25.1,0.8
Corey Brewer,80,26.1,.507,14.3,10.8,20.9,4.2,11.7,7.9,13.98,108.5,3.6
Al Horford,76,30.5,.563,17.8,7.3,20.9,6.7,19.8,13.4,21.43,374.8,12.5
Darren Collison,45,34.8,.575,25.3,11.3,20.8,1.4,8.7,5.2,17.53,152.5,5.1
Lance Stephenson,61,25.8,.419,24.8,13.2,20.7,2.7,17.1,9.7,8.87,-38.3,-1.3
Rajon Rondo,68,29.7,.448,37.7,14.7,20.7,3.9,16.4,10.1,13.49,74.9,2.5
Chris Kaman,74,18.9,.537,8.5,14.1,20.7,11.7,25.2,18.5,17.38,141.4,4.7
Gary Neal,54,22.1,.483,13.7,8.9,20.7,1.3,11.0,6.0,11.13,11.3,0.4
KJ McDaniels,62,21.8,.494,10.8,15.7,20.6,5.0,11.4,8.0,10.66,3.2,0.1
Tobias Harris,68,34.8,.551,9.6,8.9,20.6,3.4,17.3,10.3,16.76,221.3,7.4
Jimmy Butler,65,38.7,.583,14.9,6.5,20.6,5.1,11.2,8.2,21.32,405.8,13.5
Kevin Love,75,33.8,.562,12.1,8.8,20.4,6.5,26.3,16.6,18.89,279.4,9.3
Andre Drummond,82,30.5,.504,4.2,9.3,20.4,18.3,30.1,24.0,21.50,406.9,13.6
Norris Cole,75,24.4,.483,26.9,10.4,20.4,0.8,9.2,5.1,10.93,-2.0,-0.1
Robert Covington,70,27.9,.554,9.7,11.8,20.3,3.4,14.6,8.8,14.72,123.1,4.1
Nene,67,25.3,.534,13.1,13.2,20.3,5.7,17.0,11.5,14.33,71.6,2.4
David West,66,28.7,.508,20.3,10.9,20.2,6.4,19.7,13.1,16.06,128.8,4.3
Thaddeus Young,76,32.0,.507,12.9,8.7,20.2,5.8,13.5,9.6,15.74,190.2,6.3
Ersan Ilyasova,58,22.7,.554,7.9,6.4,20.2,7.0,17.0,12.0,16.90,106.3,3.5
Danilo Gallinari,59,24.2,.563,10.5,7.2,20.2,2.3,14.7,8.3,16.81,134.2,4.5
Ben Gordon,56,14.1,.538,11.6,12.8,20.1,0.8,8.3,4.5,10.66,1.9,0.1
Alec Burks,27,33.3,.524,16.7,10.6,20.1,2.5,12.1,7.3,13.07,27.8,0.9
Evan Turner,82,27.6,.482,30.9,13.6,20.0,1.9,18.5,10.1,12.88,80.2,2.7
Will Barton,58,16.9,.503,15.1,11.4,20.0,2.8,15.2,8.9,13.60,45.5,1.5
Kelly Olynyk,64,22.3,.558,13.7,12.3,19.9,7.0,16.5,11.7,15.93,113.2,3.8
Chris Copeland,50,16.6,.468,11.6,13.4,19.8,3.1,11.7,7.4,7.44,-37.9,-1.3
Greivis Vasquez,82,24.3,.514,25.7,10.1,19.7,1.3,11.2,6.3,12.67,49.7,1.7
Alexis Ajinca,68,14.1,.595,9.6,14.1,19.6,12.4,25.0,18.7,20.01,134.4,4.5
Mike Scott,68,16.5,.543,12.5,6.5,19.6,4.7,15.2,10.1,15.14,61.1,2.0
Kevin Seraphin,79,15.6,.535,9.2,15.2,19.6,8.1,17.9,13.1,12.61,37.0,1.2
Roy Hibbert,76,25.3,.501,8.5,10.8,19.6,9.0,21.9,15.5,15.47,140.0,4.7
Gerald Henderson,80,28.9,.514,16.4,8.7,19.6,1.7,11.6,6.5,13.29,96.5,3.2
Jeremy Lamb,47,13.5,.538,12.7,7.8,19.5,1.4,16.5,9.1,14.96,42.1,1.4
Avery Bradley,77,31.5,.507,10.4,8.4,19.5,2.0,8.9,5.4,11.51,18.3,0.6
Shelvin Mack,55,15.1,.489,30.4,9.6,19.5,1.1,9.5,5.4,13.23,27.8,0.9
Beno Udrih,79,18.9,.550,25.6,10.4,19.5,1.5,9.4,5.5,15.49,100.0,3.3
Joe Johnson,80,34.9,.523,19.1,8.9,19.4,2.1,13.3,7.7,14.11,150.4,5.0
Eric Gordon,61,33.1,.544,20.8,11.1,19.4,1.6,7.4,4.5,12.76,68.1,2.3
Leandro Barbosa,66,14.9,.558,17.6,7.8,19.3,2.6,7.2,5.0,15.33,70.8,2.4
Henry Sims,73,19.2,.521,10.7,13.4,19.3,8.9,19.4,13.9,14.52,81.9,2.7
JJ Redick,78,30.9,.622,10.9,7.5,19.3,1.1,6.6,3.9,16.23,205.9,6.9
Jusuf Nurkic,62,17.8,.483,8.7,14.9,19.2,11.8,26.1,18.7,14.84,69.8,2.3
Chandler Parsons,66,33.1,.567,13.8,8.2,19.2,3.2,13.0,8.1,16.37,191.4,6.4
Jimmer Fredette,50,10.2,.479,21.0,11.9,19.2,1.8,7.1,4.5,9.87,-8.6,-0.3
CJ McCollum,62,15.7,.534,12.6,9.4,19.1,1.6,8.3,5.0,13.15,38.5,1.3
Jabari Parker,25,29.5,.527,11.0,12.3,19.1,7.8,13.5,10.7,14.60,45.1,1.5
Elfrid Payton,82,30.4,.456,34.7,13.2,19.1,4.8,11.2,7.9,13.87,106.6,3.6
Jodie Meeks,60,24.4,.548,10.7,7.7,19.0,0.9,7.1,3.9,14.18,80.4,2.7
Kenneth Faried,75,27.8,.548,8.3,11.0,18.9,12.1,22.9,17.3,18.46,216.7,7.2
Randy Foye,50,21.7,.510,19.7,9.9,18.9,0.9,7.8,4.2,11.03,8.6,0.3
Donald Sloan,53,20.9,.503,29.5,10.1,18.8,1.2,13.0,7.1,13.16,35.7,1.2
Wilson Chandler,78,31.7,.523,10.5,8.6,18.8,4.1,17.2,10.4,13.24,100.9,3.4
Darrell Arthur,58,17.0,.466,11.1,9.1,18.8,5.6,13.4,9.3,11.57,1.0,0.0
Rodney Hood,50,21.3,.529,15.5,8.4,18.8,1.0,11.7,6.4,12.39,30.0,1.0
Vince Carter,66,16.5,.445,14.3,7.8,18.8,2.8,11.1,7.0,9.66,-13.6,-0.5
Arron Afflalo,78,32.1,.533,10.6,9.5,18.7,1.1,9.7,5.3,10.70,7.4,0.2
C.J. Watson,57,24.9,.581,26.0,12.5,18.7,1.4,11.2,6.3,15.43,94.0,3.1
Ramon Sessions,64,18.6,.490,26.8,12.7,18.7,2.3,11.2,6.9,11.17,3.0,0.1
Jason Smith,82,21.8,.497,15.5,11.5,18.7,6.2,15.0,10.5,12.05,14.7,0.5
Khris Middleton,79,30.1,.563,14.8,9.2,18.7,2.3,14.3,8.4,15.70,184.4,6.1
Hassan Whiteside,48,23.8,.619,1.2,11.2,18.7,15.6,34.7,25.4,26.26,266.9,8.9
Paul Pierce,73,26.2,.580,14.6,9.3,18.6,2.7,14.3,8.7,15.23,135.1,4.5
Wesley Matthews,60,33.7,.586,13.4,7.8,18.6,2.1,9.5,5.9,16.15,170.5,5.7
Mirza Teletovic,40,22.3,.500,10.5,12.1,18.5,3.4,20.9,12.2,10.71,-10.5,-0.3
Langston Galloway,45,32.4,.489,19.8,8.1,18.5,2.9,12.5,7.5,12.36,29.6,1.0
P.J. Hairston,45,15.3,.446,6.4,6.7,18.5,3.4,11.5,7.4,8.99,-15.5,-0.5
David Lee,49,18.4,.541,17.3,9.9,18.5,10.0,20.3,15.3,17.90,86.4,2.9
Giannis Antetokounmpo,81,31.4,.552,15.8,13.2,18.5,4.5,19.7,12.2,14.89,166.4,5.5
Evan Fournier,58,28.6,.546,14.3,9.7,18.4,1.9,8.7,5.2,12.47,48.7,1.6
Tyler Zeller,82,21.1,.594,12.7,8.5,18.4,9.1,20.5,14.7,19.01,217.2,7.2
Mario Chalmers,80,29.6,.521,24.4,13.7,18.4,1.2,9.0,5.2,11.76,26.9,0.9
Nick Calathes,58,14.4,.455,30.8,12.9,18.4,2.6,11.8,7.2,12.33,22.9,0.8
Kentavious Caldwell-Pope,82,31.5,.501,8.8,7.6,18.3,1.9,9.1,5.4,11.25,29.1,1.0
JJ Hickson,73,19.3,.504,8.1,13.7,18.3,11.1,24.0,17.3,14.39,60.8,2.0
Jerryd Bayless,77,22.3,.519,24.7,14.1,18.3,1.5,12.5,7.0,11.18,4.7,0.2
Zaza Pachulia,73,23.7,.506,19.6,14.6,18.3,13.1,19.9,16.5,15.68,131.2,4.4
Cleanthony Early,39,16.6,.447,11.6,12.9,18.2,3.8,13.8,8.7,8.46,-19.7,-0.7
Isaiah Canaan,47,20.0,.534,17.4,11.0,18.2,2.0,8.3,5.1,12.44,20.1,0.7
Brandon Bass,82,23.5,.557,10.8,8.6,18.2,7.8,14.9,11.3,16.39,140.8,4.7
Brian Roberts,72,18.5,.495,23.0,8.1,18.1,1.0,8.2,4.5,11.74,14.6,0.5
Shawne Williams,63,17.3,.537,11.2,7.7,18.1,4.0,14.0,9.0,10.57,1.1,0.0
Phil Pressey,50,12.0,.453,33.1,11.6,18.0,2.3,12.4,7.3,11.84,7.5,0.3
Luol Deng,72,33.6,.561,12.1,9.4,17.9,5.2,13.3,9.3,15.55,182.6,6.1
Ray McCallum,68,21.1,.496,24.1,10.9,17.9,4.3,9.8,7.1,12.54,33.0,1.1
Donatas Motiejunas,71,28.7,.553,12.7,12.0,17.9,7.4,15.4,11.4,14.44,89.5,3.0
Devin Harris,76,22.2,.559,25.8,9.3,17.8,0.8,8.0,4.4,14.86,97.2,3.2
Jabari Brown,19,29.9,.547,14.3,11.5,17.8,0.6,6.7,3.5,11.00,4.3,0.1
Marcus Morris Sr.,81,25.2,.520,13.1,7.2,17.8,3.9,16.9,10.3,13.73,68.1,2.3
Boris Diaw,81,24.5,.526,22.6,12.2,17.7,4.5,15.2,10.0,12.74,63.5,2.1
Mason Plumlee,82,21.3,.570,9.2,13.1,17.7,11.3,21.6,16.5,18.04,193.6,6.5
Omri Casspi,67,21.1,.580,14.6,12.6,17.6,4.5,15.9,10.4,14.45,83.4,2.8
Serge Ibaka,64,33.1,.550,5.6,9.8,17.6,7.0,18.1,12.6,16.60,160.9,5.4
Marco Belinelli,62,22.4,.553,14.1,9.1,17.5,2.2,10.5,6.4,12.47,40.9,1.4
Justin Holiday,59,11.1,.498,14.5,8.7,17.5,2.0,9.7,6.0,12.13,16.0,0.5
Wayne Ellington,65,25.8,.504,13.1,6.2,17.4,2.0,12.3,6.9,11.66,29.1,1.0
Cole Aldrich,61,16.0,.513,16.2,12.7,17.4,11.6,28.9,20.0,18.16,110.1,3.7
Jon Leuer,63,13.1,.478,12.1,9.2,17.3,7.0,21.7,14.3,11.97,5.8,0.2
Derrick Williams,74,19.8,.540,7.4,8.3,17.3,3.3,12.1,7.8,12.89,30.2,1.0
Jonas Valanciunas,80,26.2,.623,4.2,11.8,17.3,11.8,26.3,19.1,20.60,312.9,10.4
Luc Mbah a Moute,67,28.6,.466,11.6,10.8,17.2,4.4,14.6,9.3,10.60,-25.9,-0.9
Tiago Splitter,52,19.8,.601,15.8,12.2,17.2,10.2,17.4,13.9,18.98,128.8,4.3
Trevor Booker,79,19.8,.536,11.9,12.6,17.1,10.3,19.0,14.7,15.31,88.9,3.0
Andre Miller,81,15.5,.548,39.9,14.6,17.1,3.4,10.2,6.9,13.37,44.2,1.5
Anderson Varejao,26,24.5,.580,12.1,12.1,17.0,10.4,20.1,15.3,17.74,67.7,2.3
Terrence Jones,33,26.9,.567,8.7,9.0,17.0,9.7,17.6,13.7,18.31,90.4,3.0
JaKarr Sampson,74,15.3,.498,14.3,14.1,16.9,3.2,12.9,7.8,9.39,-18.7,-0.6
JR Smith,70,29.7,.538,18.1,9.0,16.9,1.7,10.4,6.0,13.63,97.2,3.2
Michael Kidd-Gilchrist,55,28.9,.519,10.8,8.8,16.9,7.4,21.9,14.4,15.14,110.0,3.7
Terrence Ross,82,25.5,.519,9.2,7.4,16.9,1.8,10.7,6.2,11.21,22.1,0.7
Kris Humphries,64,21.0,.512,9.5,7.7,16.8,10.1,24.4,17.4,15.50,80.2,2.7
Cory Joseph,79,18.3,.564,25.8,9.2,16.8,3.5,11.4,7.5,15.57,98.5,3.3
Jae Crowder,82,20.1,.517,12.5,6.5,16.8,4.7,14.9,9.7,13.93,84.3,2.8
Anthony Bennett,57,15.7,.458,11.7,8.8,16.8,6.5,21.6,13.8,11.41,-1.2,-0.0
Timofey Mozgov,81,25.3,.594,6.6,13.9,16.7,11.0,21.4,16.1,16.59,182.9,6.1
Spencer Hawes,73,17.5,.478,14.8,10.3,16.7,2.7,19.7,11.4,9.83,-31.9,-1.1
John Henson,67,18.3,.578,10.7,15.8,16.7,11.7,17.4,14.5,18.08,137.0,4.6
Kyle O'Quinn,51,16.2,.550,15.5,14.4,16.7,6.2,21.4,13.6,14.88,41.6,1.4
Draymond Green,79,31.5,.540,22.8,10.4,16.6,5.1,22.4,14.0,16.43,220.2,7.3
Austin Rivers,76,20.6,.481,20.1,8.4,16.6,2.0,8.9,5.5,10.36,-3.4,-0.1
Adreian Payne,32,23.1,.443,9.5,14.0,16.6,7.2,18.2,12.5,7.75,-41.4,-1.4
Kendrick Perkins,68,16.9,.467,12.5,23.2,16.6,8.7,21.2,15.1,7.03,-61.2,-2.0
Willie Green,52,18.3,.477,15.6,11.0,16.5,1.6,7.9,4.7,7.97,-35.9,-1.2
Lance Thomas,62,24.0,.456,11.0,11.8,16.5,4.9,10.0,7.4,8.03,-54.9,-1.8
Cory Jefferson,50,10.6,.480,7.1,8.8,16.5,10.0,20.6,15.3,13.26,13.9,0.5
Jonas Jerebko,75,16.4,.549,13.6,8.4,16.5,8.0,17.2,12.5,14.99,64.1,2.1
James Johnson,70,19.6,.617,15.3,12.7,16.5,5.1,16.5,10.8,17.93,131.4,4.4
Jose Calderon,42,30.2,.519,30.9,11.7,16.5,1.7,9.8,5.6,11.34,6.5,0.2
Travis Wear,51,13.2,.451,13.5,11.8,16.4,5.2,13.3,9.1,8.59,-19.2,-0.6
Carl Landry,70,17.0,.578,5.0,10.5,16.4,9.8,15.5,12.8,14.93,61.0,2.0
Taj Gibson,62,27.3,.545,9.7,10.5,16.4,10.7,14.6,12.7,16.10,116.2,3.9
Rasual Butler,75,20.1,.531,9.6,7.3,16.4,2.1,12.4,7.4,11.44,21.2,0.7
T.J. Warren,40,15.4,.551,9.1,9.8,16.4,7.3,7.9,7.6,14.04,32.4,1.1
Danny Green,81,28.5,.596,15.1,8.9,16.3,2.7,13.9,8.4,16.55,208.9,7.0
Jordan Farmar,36,14.7,.513,25.6,12.2,16.3,1.7,7.1,4.5,9.96,0.0,0.0
Elijah Millsap,47,19.7,.450,14.5,16.7,16.3,3.5,15.2,9.4,7.90,-35.9,-1.2
Shaun Livingston,78,18.8,.529,32.5,12.8,16.3,3.3,10.0,6.7,12.91,41.8,1.4
Dorell Wright,48,12.4,.525,15.3,6.7,16.2,2.6,17.2,10.0,13.42,25.8,0.9
Marcin Gortat,82,29.9,.587,9.2,9.5,16.1,8.5,24.1,16.5,18.28,281.1,9.4
Aron Baynes,70,16.0,.618,7.4,13.7,16.1,11.2,20.7,16.1,15.97,89.9,3.0
Pero Antic,63,16.5,.508,10.9,10.9,16.0,6.6,14.0,10.4,9.57,-29.9,-1.0
Ben McLemore,82,32.6,.552,11.9,11.7,16.0,1.4,8.6,5.1,10.42,-3.1,-0.1
Nerlens Noel,75,30.8,.493,12.4,14.2,16.0,8.3,21.0,14.3,15.03,152.8,5.1
Tyler Johnson,32,18.8,.506,16.2,11.6,15.9,2.9,13.1,8.1,12.06,14.1,0.5
Patrick Beverley,56,30.8,.509,23.0,10.0,15.9,4.3,10.8,7.6,11.37,9.4,0.3
Bojan Bogdanovic,78,23.8,.562,8.8,10.1,15.8,3.0,9.8,6.4,11.64,31.6,1.1
Festus Ezeli,46,11.0,.580,4.2,14.9,15.8,13.3,19.7,16.6,16.21,42.2,1.4
Drew Gooden,51,16.9,.469,13.2,7.5,15.8,9.6,19.3,14.5,11.95,5.8,0.2
Trevor Ariza,82,35.7,.539,15.8,10.7,15.7,2.9,14.4,8.6,12.74,97.9,3.3
Jerami Grant,65,21.2,.470,13.1,14.1,15.6,3.7,12.3,7.8,8.72,-36.6,-1.2
Larry Sanders,27,21.7,.507,9.4,11.5,15.6,13.2,19.2,16.2,15.25,0.0,0.0
Tony Allen,63,26.2,.528,12.6,12.6,15.5,7.2,12.2,9.7,14.68,102.7,3.4
Gary Harris,55,13.1,.395,9.5,12.5,15.5,3.0,6.7,4.8,4.98,-59.3,-2.0
DeMarre Carroll,70,31.3,.603,12.7,8.1,15.5,5.3,13.8,9.7,15.94,177.9,5.9
Wesley Johnson,76,29.5,.509,13.0,9.1,15.5,3.2,12.9,7.8,11.14,21.5,0.7
Anthony Morrow,74,24.4,.604,8.0,5.1,15.4,2.4,9.1,5.8,14.88,118.0,3.9
Shabazz Napier,51,19.8,.517,28.0,17.5,15.4,2.1,11.2,6.7,9.28,-26.0,-0.9
