PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Russell Westbrook,46,30.7,.545,22.5,12.5,33.5,4.6,15.9,10.5,24.74,289.6,9.7
Kevin Durant,81,38.5,.635,16.1,10.3,31.2,2.2,18.6,10.8,29.90,903.8,30.1
DeMarcus Cousins,71,32.4,.555,10.8,13.1,30.7,10.6,30.5,20.4,26.18,534.5,17.8
Carmelo Anthony,77,38.7,.561,10.4,8.5,30.1,5.6,19.4,12.3,24.50,623.0,20.8
LeBron James,77,37.7,.649,20.6,11.4,29.1,3.6,18.9,11.5,29.40,818.5,27.3
Stephen Curry,78,36.5,.610,26.7,11.8,28.2,1.8,10.9,6.4,24.13,557.6,18.6
LaMarcus Aldridge,69,36.2,.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,385.7,12.9
Kyrie Irving,71,35.2,.533,21.6,9.5,27.8,2.3,9.5,5.8,20.14,340.4,11.3
Kevin Love,77,36.3,.591,15.2,8.7,27.7,8.5,29.5,18.7,26.97,645.8,21.5
John Wall,82,36.3,.524,28.5,11.7,27.7,1.5,11.7,6.5,19.61,383.0,12.8
Blake Griffin,80,35.8,.583,14.1,10.2,27.1,7.7,21.2,14.7,23.98,533.3,17.8
James Harden,73,38.0,.618,20.2,12.0,26.8,2.6,10.7,6.9,23.51,539.2,18.0
Tyreke Evans,72,28.2,.504,23.1,11.1,26.7,4.3,15.4,9.8,18.43,239.9,8.0
Al Jefferson,73,35.0,.532,8.7,7.0,26.7,6.9,28.3,17.5,22.75,462.9,15.4
DeMar DeRozan,79,38.2,.532,14.4,8.1,26.6,2.0,11.3,6.6,18.42,356.8,11.9
Paul George,80,36.2,.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,417.9,13.9
Tony Wroten,72,24.5,.493,15.8,14.9,26.4,4.1,10.1,7.0,12.96,64.9,2.2
Brandon Knight,72,33.3,.523,19.8,10.6,26.2,2.1,10.3,6.1,16.59,200.3,6.7
Isaiah Thomas,72,34.7,.574,23.4,11.0,26.1,2.1,7.5,4.7,20.54,355.6,11.9
Dwyane Wade,54,32.9,.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,306.3,10.2
Jimmer Fredette,49,10.6,.578,18.4,13.8,25.9,1.7,9.7,5.7,15.88,37.8,1.3
Tony Parker,68,29.4,.555,24.9,9.7,25.9,1.0,7.5,4.4,19.00,238.5,7.9
Dion Waiters,70,29.6,.508,14.4,10.5,25.7,1.7,9.0,5.3,14.10,111.3,3.7
Jamal Crawford,69,30.3,.556,14.8,8.9,25.5,1.9,6.4,4.2,17.39,215.2,7.2
Michael Carter-Williams,70,34.5,.480,23.2,13.0,25.3,4.3,15.6,9.8,15.59,165.4,5.5
Jeff Teague,79,32.2,.541,26.9,11.8,25.2,1.6,7.9,4.7,17.16,233.6,7.8
Rudy Gay,73,34.7,.540,11.7,12.6,25.2,5.0,14.7,9.8,18.40,298.3,9.9
Monta Ellis,82,36.9,.532,21.4,12.0,25.1,1.5,9.8,5.6,16.83,285.4,9.5
Kemba Walker,73,35.8,.499,23.4,8.9,25.0,1.7,11.6,6.6,16.82,227.1,7.6
Chris Paul,62,35.0,.580,36.2,7.9,25.0,2.0,11.4,6.9,25.98,485.2,16.2
Dirk Nowitzki,80,32.9,.603,12.2,6.6,24.9,1.8,20.0,10.9,23.68,477.7,15.9
Mike Conley,73,33.5,.545,25.3,8.6,24.7,2.0,8.4,5.2,20.07,331.0,11.0
Damian Lillard,82,35.8,.568,21.3,9.0,24.7,1.3,9.2,5.3,18.69,337.1,11.2
Will Bynum,56,18.8,.502,26.9,12.8,24.7,2.4,8.2,5.1,14.44,54.1,1.8
Zach Randolph,79,34.2,.510,11.6,10.6,24.6,11.6,23.3,17.4,18.37,277.4,9.2
Brandon Jennings,80,34.1,.486,29.0,10.2,24.6,2.2,7.8,4.9,15.67,190.0,6.3
Eric Bledsoe,43,32.9,.578,22.6,13.8,24.4,2.1,13.8,8.0,19.62,182.2,6.1
Carlos Boozer,76,28.2,.489,8.8,11.5,24.4,7.4,25.9,16.8,14.48,95.2,3.2
Pau Gasol,60,31.4,.522,15.0,10.5,24.4,7.0,25.9,16.4,19.34,245.8,8.2
Chris Kaman,39,18.9,.537,11.4,14.6,24.3,7.8,25.4,16.6,17.06,71.0,2.4
J.J. Barea,79,18.6,.471,26.9,11.1,24.3,1.2,10.5,5.7,11.68,15.0,0.5
Manu Ginobili,68,22.8,.590,25.7,12.2,24.2,2.3,12.0,7.3,20.06,221.2,7.4
Brook Lopez,17,31.4,.629,4.9,8.7,24.1,8.8,14.1,11.5,25.50,118.6,4.0
Jrue Holiday,34,33.6,.505,31.4,12.3,24.1,2.8,11.8,7.2,17.19,105.6,3.5
Goran Dragic,76,35.1,.604,23.1,11.0,24.1,2.9,7.4,5.2,21.43,435.4,14.5
Nick Young,64,28.3,.564,7.9,7.9,24.1,1.7,8.1,4.9,16.11,151.6,5.1
Luol Deng,63,35.1,.517,14.4,8.9,24.0,5.0,13.5,9.2,15.22,155.8,5.2
Gary Neal,52,21.4,.530,12.5,9.6,23.9,1.0,8.3,4.6,12.54,34.0,1.1
Josh Smith,77,35.5,.463,13.9,11.0,23.9,3.9,17.6,10.4,14.10,146.8,4.9
Paul Millsap,74,33.5,.545,14.2,11.3,23.7,7.2,21.9,14.6,19.83,308.4,10.3
Ty Lawson,62,35.8,.553,31.4,11.6,23.5,1.9,8.5,5.2,19.02,266.0,8.9
Tim Duncan,74,29.2,.535,15.4,11.2,23.5,8.6,28.3,18.8,21.40,318.8,10.6
