Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Brook Lopez,C,72,44.0,29.2,17.2,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9,0.5,22.76,7.0,13.7,51.3,0.0,0.1,10.0,3.1,3.8,81.4,7.0,13.6,51.7,1.252,0.51
Joe Johnson,G,80,80.0,34.9,14.4,0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,2.1,14.11,5.6,12.8,43.5,1.5,4.2,35.9,1.8,2.2,80.1,4.1,8.6,47.2,1.126,0.49
Thaddeus Young,PF,28,20.0,29.6,13.8,1.9,4.1,5.9,1.4,1.4,0.3,1.5,2.0,0.9,17.13,5.8,11.7,49.5,0.7,1.8,38.0,1.5,2.5,60.6,5.1,9.9,51.6,1.18,0.52
Deron Williams,PG,68,55.0,31.1,13.0,0.4,3.1,3.5,6.6,0.9,0.3,2.3,2.3,2.9,15.73,4.4,11.3,38.7,1.3,3.5,36.7,3.0,3.5,83.4,3.1,7.9,39.5,1.147,0.44
Jarrett Jack,G,80,27.0,28.0,12.0,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,2.0,14.64,4.5,10.2,43.9,0.5,1.8,26.7,2.5,2.8,88.1,4.0,8.4,47.7,1.171,0.46
Bojan Bogdanovic,SF,78,28.0,23.8,9.0,0.6,2.1,2.7,0.9,0.4,0.1,1.0,1.3,0.9,11.64,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,2.2,4.1,53.1,1.215,0.53
Mason Plumlee,C,82,45.0,21.3,8.7,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,0.7,18.04,3.4,6.0,57.3,0.0,0.0,0.0,1.9,3.9,49.5,3.4,5.9,57.6,1.466,0.57
Mirza Teletovic,PF,40,4.0,22.3,8.5,0.7,4.2,4.9,1.2,0.4,0.4,1.3,1.9,0.9,10.71,3.1,8.0,38.2,1.6,4.8,32.1,0.8,1.2,71.7,1.5,3.2,47.6,1.063,0.48
Alan Anderson,SG,74,19.0,23.6,7.4,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,1.4,10.63,2.6,5.9,44.3,1.0,2.8,34.8,1.1,1.4,81.2,1.6,3.1,53.0,1.239,0.53
Kevin Garnett,PF,42,42.0,20.3,6.8,1.1,5.7,6.8,1.6,1.0,0.3,1.1,2.3,1.5,14.8,3.0,6.5,45.5,0.0,0.1,16.7,0.8,1.0,82.9,3.0,6.4,46.1,1.036,0.46
Sergey Karasev,SG,33,16.0,16.8,4.6,0.7,1.3,2.0,1.4,0.7,0.0,0.7,1.4,1.9,10.57,1.6,4.1,40.3,0.5,1.6,29.6,0.9,1.2,76.3,1.2,2.4,47.5,1.1420000000000001,0.46
Markel Brown,G,47,29.0,16.6,4.6,0.3,1.9,2.3,0.8,0.7,0.3,0.6,1.2,1.4,9.17,1.6,4.5,36.2,0.4,1.4,26.6,1.0,1.2,82.5,1.3,3.1,40.4,1.0290000000000001,0.4
Cory Jefferson,F,50,1.0,10.6,3.7,0.9,2.0,2.9,0.3,0.2,0.4,0.4,1.2,0.8,13.26,1.5,3.3,44.9,0.0,0.3,13.3,0.6,1.1,57.4,1.5,3.0,48.0,1.0959999999999999,0.46
Jerome Adolphus Jordan,C,44,0.0,8.7,3.1,1.2,1.2,2.4,0.3,0.2,0.3,0.5,1.3,0.6,16.82,1.1,2.1,53.2,0.0,0.0,0.0,0.9,1.0,86.4,1.1,2.1,53.2,1.4680000000000002,0.53
Earl Clark,SF,10,0.0,9.3,2.7,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,0.5,6.76,1.1,3.0,36.7,0.4,1.4,28.6,0.1,0.4,25.0,0.7,1.6,43.8,0.9,0.43
Brandon Davies,PF,7,0.0,6.3,2.3,0.4,1.0,1.4,0.3,0.1,0.4,0.6,0.7,0.5,8.54,0.9,2.6,33.3,0.1,0.6,25.0,0.4,0.6,75.0,0.7,2.0,35.7,0.889,0.36
Darius Morris,G,38,0.0,7.9,2.2,0.2,0.5,0.7,1.3,0.2,0.0,0.6,0.5,2.3,6.78,0.9,2.8,34.0,0.2,0.9,21.2,0.1,0.2,44.4,0.8,1.9,39.7,0.7829999999999999,0.37
Jorge Gutierrez,G,10,0.0,4.4,1.6,0.0,0.7,0.7,0.7,0.1,0.0,0.3,0.9,2.3,10.95,0.7,1.4,50.0,0.0,0.1,0.0,0.2,0.3,66.7,0.7,1.3,53.8,1.143,0.5
Andrei Kirilenko,SF,7,0.0,5.1,0.4,0.3,0.9,1.1,0.1,0.1,0.0,0.1,0.1,1.0,2.79,0.0,0.7,0.0,0.0,0.0,0.0,0.4,0.6,75.0,0.0,0.7,0.0,0.6,0.0
Total,bkn,82,,,98.0,10.3,32.0,42.4,20.9,7.0,4.1,13.4,19.3,1.6,,37.4,83.0,45.1,6.6,19.9,33.1,16.6,22.2,74.8,30.8,63.1,48.9,1.181,0.49
Isaiah Thomas,PG,21,0.0,26.0,19.0,0.3,1.8,2.1,5.4,0.6,0.0,2.6,2.1,2.1,22.46,5.6,13.5,41.2,2.3,6.6,34.5,5.6,6.5,86.1,3.3,6.9,47.6,1.4080000000000001,0.5
Jeff Green,PF,33,33.0,33.1,17.6,0.6,3.6,4.3,1.6,0.8,0.4,1.7,2.0,0.9,14.71,6.2,14.4,43.4,1.4,4.7,30.5,3.7,4.4,84.0,4.8,9.7,49.5,1.2209999999999999,0.48
Avery Bradley,PG,77,77.0,31.5,13.9,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,1.2,11.51,5.6,13.2,42.8,1.6,4.6,35.2,1.0,1.3,79.0,4.0,8.6,46.9,1.057,0.49
Jared Sullinger,C,58,49.0,27.0,13.3,2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,1.7,17.93,5.4,12.2,43.9,0.9,3.2,28.3,1.7,2.2,74.4,4.5,9.0,49.4,1.088,0.48
Brandon Bass,PF,82,43.0,23.5,10.6,1.7,3.2,4.9,1.3,0.5,0.4,1.0,1.7,1.3,16.39,4.2,8.3,50.4,0.1,0.4,28.1,2.1,2.6,79.0,4.1,7.9,51.5,1.268,0.51
Kelly Olynyk,PF,64,13.0,22.3,10.3,1.4,3.3,4.7,1.7,1.0,0.6,1.5,3.3,1.1,15.93,3.9,8.3,47.5,1.0,2.7,34.9,1.5,2.1,68.4,3.0,5.5,53.8,1.242,0.53
Tyler Zeller,C,82,59.0,21.1,10.2,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,1.5,19.01,4.1,7.5,54.9,0.0,0.0,0.0,1.9,2.3,82.3,4.1,7.5,54.9,1.3459999999999999,0.55
Evan Turner,G,82,57.0,27.6,9.5,0.5,4.6,5.1,5.5,1.0,0.2,2.4,2.2,2.3,12.88,3.9,9.1,42.9,0.4,1.5,27.7,1.3,1.7,75.2,3.5,7.6,45.8,1.044,0.45
Jae Crowder,PF,57,17.0,24.2,9.5,1.1,3.6,4.6,1.4,1.0,0.4,0.7,1.9,2.1,14.16,3.4,8.2,41.8,0.8,3.0,28.2,1.7,2.3,76.2,2.6,5.2,49.5,1.149,0.47
Marcus Thornton,SG,39,0.0,16.4,8.9,0.5,1.4,1.9,0.9,0.5,0.2,0.6,0.9,1.5,15.92,3.3,7.8,41.6,1.3,3.2,41.9,1.1,1.3,82.4,1.9,4.6,41.4,1.141,0.5
Tayshaun Prince,SF,9,0.0,22.0,8.4,0.7,2.7,3.3,2.0,0.6,0.2,0.4,0.8,4.5,16.97,3.7,6.6,55.9,0.6,0.9,62.5,0.6,0.7,83.3,3.1,5.7,54.9,1.288,0.6
Rajon Rondo,PG,22,22.0,31.8,8.3,1.1,6.4,7.5,10.8,1.7,0.1,3.4,1.9,3.2,15.48,3.7,9.1,40.5,0.4,1.5,25.0,0.5,1.6,33.3,3.3,7.6,43.5,0.91,0.43
Marcus Smart,PG,67,38.0,27.0,7.8,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,2.3,11.02,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,1.3,3.1,41.0,1.0959999999999999,0.46
Jonas Jerebko,F,29,0.0,18.2,7.1,1.6,3.2,4.8,1.0,0.7,0.2,0.6,2.0,1.7,15.57,2.7,6.2,43.1,0.9,2.2,40.6,0.9,1.0,83.3,1.8,4.0,44.4,1.1440000000000001,0.5
Luigi Datome,SF,18,1.0,10.7,5.2,0.1,1.3,1.4,0.4,0.1,0.4,0.4,0.8,1.0,14.99,2.1,4.3,49.4,0.9,2.0,47.2,0.1,0.1,100.0,1.2,2.3,51.2,1.2209999999999999,0.6
Jameer Nelson,G,6,1.0,20.2,4.8,0.5,2.3,2.8,5.5,1.2,0.0,1.5,2.2,3.7,8.72,1.5,6.8,22.0,0.8,4.2,20.0,1.0,1.5,66.7,0.7,2.7,25.0,0.7070000000000001,0.28
Phil Pressey,PG,50,0.0,12.0,3.5,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,2.9,11.84,1.3,3.5,36.8,0.3,1.3,24.6,0.7,1.0,67.3,1.0,2.2,44.0,1.0170000000000001,0.41
James Young,G,31,0.0,10.7,3.4,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,2.6,8.51,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.6,1.2,52.8,1.0290000000000001,0.44
Brandan Wright,F,8,0.0,10.8,3.3,0.9,1.3,2.1,1.0,0.1,0.6,0.6,0.5,1.6,15.03,1.5,2.6,57.1,0.0,0.0,0.0,0.3,0.5,50.0,1.5,2.6,57.1,1.238,0.57
Dwight Powell,C,5,0.0,1.8,1.8,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.2,0.0,35.01,0.8,1.0,80.0,0.0,0.0,0.0,0.2,0.4,50.0,0.8,1.0,80.0,1.8,0.8
Shavlik Randolph,PF,5,0.0,5.0,1.4,0.8,1.6,2.4,0.2,0.2,0.2,0.2,0.6,1.0,11.39,0.6,2.0,30.0,0.0,0.2,0.0,0.2,0.4,50.0,0.6,1.8,33.3,0.7,0.3
Gerald Wallace,SF,32,0.0,8.9,1.1,0.5,1.3,1.8,0.3,0.5,0.1,0.6,0.6,0.6,6.18,0.4,1.1,41.2,0.0,0.1,33.3,0.2,0.5,40.0,0.4,1.0,41.9,1.0290000000000001,0.43
Total,bos,82,,,101.4,11.1,32.7,43.8,24.5,8.2,3.6,13.3,21.2,1.8,,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,30.9,63.3,48.8,1.153,0.49
Kemba Walker,PG,62,58.0,34.2,17.3,0.6,3.0,3.5,5.1,1.4,0.5,1.6,1.5,3.2,17.66,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,4.7,11.3,41.8,1.0959999999999999,0.43
Mo Williams,PG,27,14.0,30.8,17.2,0.3,2.5,2.8,6.0,0.6,0.2,2.6,2.2,2.3,16.93,6.0,15.3,39.0,2.2,6.6,33.7,3.1,3.4,89.2,3.7,8.7,43.0,1.126,0.46
Al Jefferson,C,65,61.0,30.6,16.6,1.5,6.9,8.4,1.7,0.7,1.3,1.0,2.1,1.7,19.75,7.5,15.5,48.1,0.0,0.1,40.0,1.7,2.5,65.5,7.4,15.5,48.2,1.071,0.48
Gerald Henderson,SG,80,72.0,28.9,12.1,0.5,3.0,3.4,2.6,0.6,0.3,1.4,1.7,1.9,13.29,4.6,10.6,43.7,0.6,1.7,33.1,2.3,2.7,84.8,4.1,8.9,45.7,1.1440000000000001,0.46
Michael Kidd-Gilchrist,F,55,52.0,28.9,10.9,2.0,5.6,7.6,1.4,0.5,0.7,1.1,2.1,1.2,15.14,4.1,8.8,46.5,0.0,0.0,0.0,2.7,3.9,70.1,4.1,8.8,46.5,1.2409999999999999,0.46
Gary Neal,PG,43,0.0,21.7,9.6,0.3,1.9,2.2,1.9,0.4,0.0,1.3,1.6,1.5,9.99,3.3,9.3,35.9,0.9,3.1,29.3,2.0,2.4,86.3,2.4,6.2,39.2,1.038,0.41
Lance Stephenson,G,61,25.0,25.8,8.2,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,1.9,8.87,3.4,9.0,37.6,0.3,1.7,17.1,1.1,1.8,62.7,3.1,7.3,42.5,0.9109999999999999,0.39
Cody Zeller,C,62,45.0,24.0,7.6,1.6,4.3,5.8,1.6,0.5,0.8,1.0,2.5,1.6,14.15,2.8,6.0,46.1,0.0,0.0,100.0,2.0,2.6,77.4,2.8,6.0,46.0,1.265,0.46
Marvin Williams,F,78,37.0,26.1,7.4,0.7,4.2,4.9,1.3,0.9,0.5,0.8,1.9,1.7,11.79,2.7,6.3,42.4,1.2,3.4,35.8,0.8,1.1,71.3,1.5,2.9,50.0,1.166,0.52
Troy Daniels,G,11,0.0,12.3,7.0,0.2,0.5,0.7,0.5,0.3,0.1,0.6,1.1,0.7,16.14,2.5,5.4,45.8,1.5,3.3,47.2,0.5,0.6,85.7,0.9,2.1,43.5,1.305,0.6
Brian Roberts,PG,72,10.0,18.5,6.7,0.2,1.3,1.5,2.3,0.5,0.1,0.8,1.0,2.8,11.74,2.4,6.3,38.9,0.9,2.7,32.1,0.9,1.0,89.2,1.6,3.6,44.0,1.062,0.46
P.J. Hairston,SF,45,2.0,15.3,5.6,0.5,1.6,2.0,0.5,0.5,0.3,0.5,1.4,1.0,8.99,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.8,2.4,35.8,0.9440000000000001,0.41
Bismack Biyombo,C,64,21.0,19.4,4.8,2.5,3.9,6.4,0.3,0.3,1.5,0.8,2.2,0.3,15.18,1.6,2.9,54.3,0.0,0.0,0.0,1.6,2.7,58.3,1.6,2.9,54.3,1.6340000000000001,0.54
Jannero Pargo,PG,9,0.0,8.1,4.6,0.0,0.3,0.3,0.9,0.0,0.0,0.3,0.9,2.7,14.94,1.7,3.9,42.9,1.0,2.4,40.9,0.2,0.2,100.0,0.7,1.4,46.2,1.171,0.56
Jeffery Taylor,SF,29,13.0,14.8,4.4,0.5,1.3,1.8,0.8,0.4,0.0,0.7,1.2,1.2,8.26,1.6,3.9,39.5,0.4,1.2,30.6,0.9,1.4,63.4,1.2,2.7,43.6,1.114,0.44
Jason Maxiell,PF,61,0.0,14.4,3.3,1.4,1.9,3.3,0.3,0.3,0.7,0.5,1.6,0.7,10.46,1.3,3.1,42.2,0.0,0.0,0.0,0.7,1.2,57.7,1.3,3.1,42.2,1.057,0.42
Noah Vonleh,F,25,0.0,10.4,3.3,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.8,0.4,13.2,1.2,3.0,39.5,0.2,0.5,38.5,0.7,1.0,69.2,1.0,2.5,39.7,1.092,0.43
Total,cha,82,,,94.2,10.0,34.1,44.1,20.2,6.1,5.5,11.2,18.2,1.8,,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,29.5,65.4,45.0,1.114,0.46
Jimmy Butler,SF,65,65.0,38.7,20.0,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,2.3,21.32,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,5.4,11.1,48.4,1.4269999999999998,0.5
Pau Gasol,PF,78,78.0,34.4,18.5,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,1.3,22.73,7.3,14.8,49.4,0.2,0.3,46.2,3.8,4.7,80.3,7.2,14.4,49.5,1.254,0.5
Derrick Rose,PG,51,51.0,30.0,17.7,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,1.6,15.94,6.6,16.4,40.5,1.5,5.3,28.0,3.0,3.7,81.3,5.1,11.1,46.5,1.083,0.45
Aaron Brooks,G,82,21.0,23.0,11.6,0.4,1.6,2.0,3.2,0.7,0.2,1.9,2.3,1.7,14.49,4.2,10.0,42.1,1.5,3.8,38.7,1.8,2.1,83.3,2.7,6.1,44.2,1.168,0.5
Taj Gibson,C,62,17.0,27.3,10.3,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,0.9,16.1,4.1,8.2,50.2,0.0,0.0,0.0,2.1,3.0,71.7,4.1,8.2,50.2,1.265,0.5
Nikola Mirotic,F,82,3.0,20.2,10.2,0.8,4.2,4.9,1.2,0.7,0.7,1.1,2.1,1.1,17.93,3.1,7.6,40.5,1.2,3.8,31.6,2.8,3.5,80.3,1.9,3.8,49.5,1.335,0.48
Mike Dunleavy,SG,63,63.0,29.2,9.4,0.4,3.5,3.9,1.8,0.6,0.3,1.0,2.0,1.9,11.64,3.3,7.6,43.5,1.7,4.2,40.7,1.1,1.4,80.5,1.6,3.5,46.8,1.237,0.55
Joakim Noah,C,67,67.0,30.6,7.2,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3.0,2.5,15.35,2.8,6.4,44.5,0.0,0.0,0.0,1.6,2.6,60.3,2.8,6.3,44.7,1.136,0.44
Tony Snell,SG,72,22.0,19.6,6.0,0.4,2.0,2.4,0.9,0.4,0.2,0.7,1.2,1.3,10.19,2.2,5.2,42.9,1.0,2.7,37.1,0.6,0.8,80.0,1.2,2.4,49.4,1.173,0.53
Kirk Hinrich,SG,66,22.0,24.4,5.7,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,2.0,6.82,2.2,5.8,37.3,0.9,2.5,34.5,0.5,0.8,70.0,1.3,3.2,39.4,0.99,0.45
Doug McDermott,SF,36,0.0,8.9,3.0,0.2,1.0,1.2,0.2,0.1,0.0,0.5,0.8,0.4,6.16,1.2,3.0,40.2,0.4,1.1,31.7,0.3,0.4,66.7,0.8,1.8,45.5,1.0190000000000001,0.46
E'Twaun Moore,SG,56,0.0,9.0,2.7,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.4,10.38,1.1,2.5,44.6,0.2,0.7,34.2,0.2,0.4,60.0,0.9,1.8,48.5,1.072,0.49
Nazr Mohammed,C,23,0.0,5.6,1.2,0.5,1.2,1.7,0.1,0.2,0.2,0.3,0.7,0.4,8.77,0.6,1.3,43.3,0.0,0.0,0.0,0.0,0.1,33.3,0.6,1.3,43.3,0.9,0.43
Cameron Bairstow,PF,18,1.0,3.6,0.6,0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.3,2.1,0.2,0.8,21.4,0.0,0.0,0.0,0.2,0.3,80.0,0.2,0.8,21.4,0.7140000000000001,0.21
Total,chi,82,,,100.8,11.7,34.0,45.7,21.7,6.3,5.8,13.2,18.2,1.6,,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,28.7,60.6,47.4,1.216,0.49
LeBron James,SF,69,69.0,36.1,25.3,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,1.9,26.01,9.0,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71.0,7.3,13.6,53.6,1.3630000000000002,0.53
Kyrie Irving,PG,75,75.0,36.4,21.7,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,2.1,21.57,7.7,16.5,46.8,2.1,5.0,41.5,4.2,4.9,86.3,5.6,11.4,49.1,1.318,0.53
Kevin Love,PF,75,75.0,33.8,16.4,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,1.4,18.89,5.5,12.7,43.4,1.9,5.2,36.7,3.4,4.3,80.4,3.6,7.5,48.0,1.29,0.51
JR Smith,G,46,45.0,31.8,12.7,0.6,2.9,3.5,2.5,1.4,0.4,1.1,2.6,2.2,14.51,4.7,11.0,42.5,2.8,7.3,39.0,0.6,0.7,81.8,1.8,3.7,49.4,1.163,0.55
Timofey Mozgov,C,46,45.0,25.0,10.6,2.4,4.5,6.9,0.8,0.4,1.2,1.5,2.5,0.6,18.76,4.3,7.3,59.0,0.0,0.0,0.0,2.0,2.8,70.8,4.3,7.3,59.0,1.455,0.59
Dion Waiters,G,33,3.0,23.8,10.5,0.4,1.4,1.7,2.2,1.3,0.3,1.5,1.8,1.5,12.28,4.2,10.4,40.4,0.7,2.6,25.6,1.4,1.8,78.3,3.5,7.8,45.3,1.0090000000000001,0.44
Anderson Varejao,C,26,26.0,24.5,9.8,2.2,4.3,6.5,1.3,0.7,0.6,1.3,2.2,1.0,17.74,4.3,7.7,55.5,0.0,0.1,0.0,1.3,1.7,73.3,4.3,7.6,56.1,1.275,0.56
Tristan Thompson,PF,82,15.0,26.8,8.5,3.3,4.7,8.0,0.5,0.4,0.7,1.0,2.3,0.5,15.68,3.3,6.0,54.7,0.0,0.0,0.0,1.9,3.0,64.1,3.3,6.0,54.7,1.42,0.55
Iman Shumpert,SG,38,1.0,24.2,7.2,0.9,2.9,3.8,1.5,1.3,0.3,1.3,1.9,1.2,11.17,2.8,6.7,41.0,1.2,3.4,33.8,0.5,0.7,66.7,1.6,3.3,48.4,1.063,0.5
Shawn Marion,SG,57,24.0,19.3,4.8,1.1,2.4,3.5,0.9,0.5,0.5,0.6,1.0,1.5,11.03,2.1,4.7,44.6,0.2,0.8,26.1,0.5,0.6,76.5,1.9,3.9,48.4,1.034,0.47
Matthew Dellavedova,PG,67,13.0,20.6,4.8,0.6,1.3,1.9,3.0,0.4,0.0,0.9,2.3,3.3,8.56,1.7,4.6,36.2,1.0,2.5,40.7,0.4,0.6,76.3,0.6,2.1,30.7,1.0390000000000001,0.47
James Jones,SG,57,2.0,11.7,4.4,0.2,0.9,1.1,0.4,0.2,0.1,0.2,1.2,1.8,11.1,1.3,3.5,36.8,1.1,3.1,36.0,0.7,0.8,84.8,0.2,0.5,42.3,1.244,0.52
Joe Harris,SF,51,1.0,9.7,2.7,0.1,0.7,0.8,0.5,0.1,0.0,0.5,1.2,1.0,5.62,0.9,2.4,40.0,0.6,1.6,36.9,0.2,0.3,60.0,0.3,0.7,47.2,1.133,0.53
Kendrick Perkins,C,17,0.0,9.8,2.6,0.6,1.8,2.4,0.5,0.1,0.2,1.2,1.6,0.4,4.75,1.2,2.4,48.8,0.0,0.0,0.0,0.2,0.5,50.0,1.2,2.4,48.8,1.073,0.49
Mike Miller,SG,52,15.0,13.5,2.1,0.1,1.7,1.8,0.9,0.3,0.1,0.4,1.4,2.0,4.64,0.7,2.2,32.5,0.6,1.9,32.7,0.1,0.1,75.0,0.1,0.3,31.3,0.956,0.46
A.J. Price,PG,11,0.0,7.9,2.0,0.4,1.0,1.4,1.2,0.3,0.0,0.3,0.1,4.3,7.73,0.8,3.1,26.5,0.0,1.0,0.0,0.4,0.5,66.7,0.8,2.1,39.1,0.647,0.26
Will Cherry,F,8,0.0,8.6,1.9,0.1,0.5,0.6,1.0,0.8,0.1,0.5,1.3,2.0,5.85,0.6,2.4,26.3,0.3,1.1,22.2,0.4,0.8,50.0,0.4,1.3,30.0,0.789,0.32
Brendan Haywood,C,22,1.0,5.4,1.6,0.3,1.0,1.3,0.1,0.1,0.5,0.5,0.8,0.2,9.11,0.6,1.4,46.7,0.0,0.0,0.0,0.3,0.6,53.8,0.6,1.4,46.7,1.167,0.47
Lou Amundson,PF,12,0.0,6.6,0.9,0.4,1.3,1.7,0.4,0.1,0.0,0.4,0.9,1.0,3.77,0.3,1.0,33.3,0.0,0.0,0.0,0.3,0.4,60.0,0.3,1.0,33.3,0.917,0.33
