PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Russell Westbrook,80,34.4,.554,29.0,11.9,33.3,6.1,18.1,12.4,27.64,683.0,22.8
DeMarcus Cousins,65,34.6,.538,10.3,11.9,33.2,7.7,28.2,18.0,23.67,438.0,14.6
James Harden,82,38.1,.598,20.6,12.6,32.2,2.2,15.6,8.8,25.36,693.1,23.1
Stephen Curry,79,34.2,.669,20.6,10.2,31.6,2.9,13.6,8.6,31.56,828.6,27.6
Damian Lillard,75,35.7,.560,21.1,10.0,31.2,1.8,10.4,6.1,22.25,449.1,15.0
LeBron James,76,35.6,.588,21.5,10.4,31.1,4.7,18.8,11.8,27.64,692.9,23.1
Kobe Bryant,66,28.2,.469,11.9,8.3,30.7,2.3,12.3,7.1,14.94,123.4,4.1
Dwyane Wade,74,30.5,.517,18.0,10.6,30.5,4.3,10.7,7.6,20.42,334.3,11.1
Kevin Durant,72,35.8,.634,16.3,11.3,30.2,2.0,21.8,12.4,28.25,682.8,22.8
Reggie Jackson,79,30.7,.535,23.3,10.6,29.6,2.5,9.1,5.7,19.62,312.0,10.4
Isaiah Thomas,82,32.2,.562,21.7,9.4,29.5,1.8,8.0,4.9,21.54,415.8,13.9
John Wall,77,36.2,.510,30.3,12.2,29.1,1.7,13.8,7.6,19.83,367.0,12.2
Paul George,81,34.8,.557,14.5,11.6,28.9,3.1,18.7,10.9,20.98,441.0,14.7
Kyrie Irving,53,31.5,.540,18.7,9.3,28.8,3.0,7.6,5.3,19.96,222.8,7.4
Jrue Holiday,65,28.2,.529,24.6,10.5,28.8,1.6,10.5,5.9,19.74,238.7,8.0
DeMar DeRozan,78,35.9,.550,14.6,8.1,28.5,2.7,11.5,7.1,21.58,463.9,15.5
Carmelo Anthony,72,35.1,.530,15.3,9.0,28.5,4.3,19.5,12.0,20.38,372.9,12.4
Blake Griffin,35,33.4,.544,18.1,8.8,28.3,4.8,22.3,13.7,22.22,187.1,6.2
Dennis Schroder,80,20.3,.510,25.1,13.1,28.3,1.7,11.8,6.9,15.62,111.8,3.7
Chris Paul,74,32.7,.575,33.7,8.9,28.1,1.8,12.0,7.0,26.31,552.8,18.4
Shelvin Mack,52,20.3,.507,25.8,13.1,28.0,1.4,12.5,7.0,13.64,41.7,1.4
Marreese Speights,72,11.6,.506,9.6,10.4,27.5,10.6,19.8,15.5,17.18,81.6,2.7
Eric Bledsoe,31,34.2,.557,21.9,12.7,27.2,1.8,11.2,6.4,20.10,143.9,4.8
Anthony Davis,61,35.5,.559,7.4,7.7,27.2,6.4,26.4,16.1,25.10,439.1,14.6
Derrick Rose,66,31.8,.479,19.3,10.9,26.8,2.4,8.8,5.6,13.52,79.0,2.6
CJ McCollum,80,34.8,.544,16.5,9.5,26.4,1.8,8.3,5.0,17.79,302.6,10.1
Jeff Teague,79,28.5,.551,25.9,12.0,26.3,1.6,8.6,5.2,17.98,235.1,7.8
Kyle Lowry,77,37.0,.578,23.2,10.5,26.0,2.2,12.3,7.3,22.20,476.5,15.9
Emmanuel Mudiay,68,30.4,.437,23.5,13.7,25.9,1.7,10.9,6.2,9.96,-32.0,-1.1
Jusuf Nurkic,32,17.1,.460,10.5,14.5,25.9,12.9,22.7,17.7,16.01,44.2,1.5
Brandon Knight,52,36.0,.522,18.6,12.5,25.8,2.0,9.9,5.9,14.75,104.8,3.5
Brook Lopez,73,33.7,.562,8.8,10.6,25.5,9.2,17.2,13.1,21.80,410.8,13.7
Kemba Walker,81,35.6,.554,19.9,8.1,25.5,2.1,11.5,6.8,20.87,425.0,14.2
Nikola Vucevic,65,31.3,.531,12.7,8.7,25.4,9.3,22.2,15.7,21.15,320.8,10.7
Andrew Wiggins,81,35.1,.543,8.7,9.6,25.1,4.4,7.5,6.0,16.61,259.4,8.6
Markieff Morris,64,25.5,.489,11.9,13.0,25.0,4.8,19.3,11.9,12.25,18.3,0.6
Tyreke Evans,25,30.6,.534,27.7,12.3,25.0,2.8,16.4,9.3,17.96,85.1,2.8
Gordon Hayward,80,36.2,.559,15.5,10.6,24.9,2.5,13.5,8.0,18.37,339.6,11.3
Jahlil Okafor,53,30.0,.536,6.2,11.8,24.9,8.1,17.8,12.8,17.14,155.4,5.2
Alec Burks,31,25.7,.520,12.4,10.0,24.7,2.4,13.6,8.0,14.38,46.1,1.5
Trey Burke,64,21.3,.507,16.5,8.9,24.6,1.5,8.0,4.8,14.06,62.3,2.1
Klay Thompson,80,33.3,.597,9.3,7.7,24.3,1.5,10.3,6.2,18.67,325.0,10.8
Kawhi Leonard,72,33.1,.616,12.2,6.9,24.2,4.7,18.4,11.8,26.11,554.6,18.5
Pau Gasol,72,31.8,.529,18.6,10.4,24.1,7.3,28.7,18.2,21.76,381.6,12.7
Jimmy Butler,67,36.9,.562,18.9,7.8,23.9,3.4,11.6,7.6,21.33,399.9,13.3
LaMarcus Aldridge,74,30.6,.565,7.9,7.1,23.8,9.2,22.2,15.9,22.43,369.0,12.3
Bradley Beal,55,31.1,.547,14.1,9.7,23.8,2.6,9.8,6.2,15.61,130.1,4.3
J.J. Barea,74,22.5,.536,25.9,9.7,23.6,1.7,8.3,5.0,15.52,112.4,3.7
Zach Randolph,68,29.6,.519,11.4,8.4,23.5,9.7,20.7,15.0,18.39,207.3,6.9
D'Angelo Russell,80,28.2,.507,17.7,13.1,23.5,2.2,11.2,6.5,13.22,74.9,2.5
Dirk Nowitzki,75,31.5,.555,9.1,5.8,23.5,2.4,20.3,11.4,19.09,267.9,8.9
Manu Ginobili,58,19.6,.573,23.3,13.0,23.2,2.7,11.7,7.3,17.90,125.3,4.2
Jamal Crawford,79,26.9,.529,13.5,8.3,23.2,1.0,6.3,3.7,14.04,112.3,3.7
Chris Bosh,53,33.5,.571,11.7,7.2,23.2,3.2,21.1,12.4,20.29,233.2,7.8
