PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Luka Doncic,61,33.6,.585,23.4,11.3,38.3,4.1,25.0,14.7,27.65,523.8,17.5
Giannis Antetokounmpo,63,30.4,.613,16.9,11.0,37.2,7.7,34.8,22.1,31.94,584.9,19.5
James Harden,68,36.5,.626,19.1,11.5,36.5,2.9,16.0,9.4,29.11,689.8,23.0
Trae Young,60,35.3,.595,23.9,12.3,36.2,1.6,11.5,6.5,23.95,409.8,13.7
Russell Westbrook,57,35.9,.536,19.1,12.1,34.7,5.1,18.1,11.5,21.10,308.9,10.3
Bradley Beal,57,36.0,.579,17.0,9.5,34.5,2.7,10.5,6.4,23.22,389.9,13.0
LeBron James,67,34.6,.577,28.3,10.8,33.6,3.2,21.5,12.4,25.55,520.3,17.3
Kyrie Irving,20,32.9,.595,20.0,8.1,33.3,3.5,12.5,8.1,26.24,149.6,5.0
Kawhi Leonard,57,32.4,.589,16.1,8.6,33.2,3.1,19.1,11.3,26.91,452.7,15.1
D'Angelo Russell,45,32.3,.556,20.9,10.8,32.8,1.2,12.3,6.6,18.77,179.2,6.0
Derrick Rose,50,26.0,.555,22.8,10.3,32.7,2.3,8.3,5.3,21.13,196.3,6.5
Joel Embiid,51,29.5,.590,11.7,12.2,32.4,10.3,33.2,21.7,25.82,342.1,11.4
Zach LaVine,60,34.8,.568,14.1,11.4,31.6,2.1,13.8,7.7,19.52,265.1,8.8
Damian Lillard,66,37.5,.627,23.0,8.4,31.3,1.4,10.5,6.0,26.95,589.1,19.6
De'Aaron Fox,51,32.0,.558,23.7,10.7,30.8,2.4,11.4,6.8,20.70,236.5,7.9
Donovan Mitchell,69,34.3,.558,15.0,9.4,30.4,2.6,11.3,7.1,18.86,294.9,9.8
Spencer Dinwiddie,64,31.2,.541,23.7,9.5,30.4,1.7,9.6,5.7,17.90,205.4,6.8
Devin Booker,70,35.9,.618,20.5,11.9,30.3,1.3,12.0,6.6,20.64,380.1,12.7
Caris LeVert,45,29.6,.514,17.5,10.4,29.8,3.9,10.6,7.3,16.13,111.8,3.7
Zion Williamson,24,27.8,.616,9.1,10.8,29.7,10.1,13.7,11.9,24.14,136.0,4.5
Paul George,48,29.6,.589,15.6,10.5,29.6,1.8,17.7,10.0,21.14,225.3,7.5
