Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Terrence Williams,SG,24,0.0,13.3,4.6,0.2,1.7,1.8,1.6,0.5,0.1,0.9,0.5,1.7,12.35,2.0,4.0,49.5,0.2,0.6,33.3,0.4,0.9,42.9,1.8,3.4,52.4,1.1340000000000001,0.52
Chris Wilcox,PF,61,7.0,13.6,4.2,0.9,2.0,3.0,0.4,0.5,0.5,0.6,2.0,0.6,15.32,1.8,2.5,71.9,0.0,0.0,0.0,0.6,1.0,67.2,1.8,2.5,72.4,1.693,0.72
Shavlik Randolph,PF,16,0.0,12.4,4.2,1.8,2.6,4.4,0.3,0.5,0.4,0.6,2.4,0.4,15.93,1.8,3.0,58.3,0.0,0.0,0.0,0.7,1.7,40.7,1.8,3.0,58.3,1.396,0.58
D.J. White,PF,12,0.0,7.2,2.4,0.3,0.8,1.1,0.3,0.1,0.5,0.2,0.4,2.0,14.76,1.0,1.9,52.2,0.0,0.0,0.0,0.4,0.8,55.6,1.0,1.9,52.2,1.261,0.52
Jarvis Varnado,PF,5,0.0,3.6,1.2,0.2,0.4,0.6,0.2,0.2,0.0,0.2,0.2,1.0,12.84,0.4,0.8,50.0,0.0,0.0,0.0,0.4,0.8,50.0,0.4,0.8,50.0,1.5,0.5
Kris Joseph,SF,6,0.0,4.0,1.2,0.2,0.7,0.8,0.2,0.0,0.0,0.3,0.3,0.5,-3.15,0.3,1.8,18.2,0.0,0.3,0.0,0.5,0.7,75.0,0.3,1.5,22.2,0.636,0.18
Fab Melo,C,6,0.0,6.0,1.2,0.0,0.5,0.5,0.0,0.3,0.3,0.2,1.2,0.0,4.95,0.5,1.0,50.0,0.0,0.0,0.0,0.2,0.7,25.0,0.5,1.0,50.0,1.167,0.5
Jason Collins,C,32,7.0,10.3,1.2,0.7,1.0,1.6,0.2,0.3,0.2,0.5,2.3,0.4,3.03,0.3,0.7,34.8,0.0,0.0,0.0,0.7,0.9,70.0,0.3,0.7,34.8,1.609,0.35
Darko Milicic,C,1,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,-30.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Total,bos,81,,,96.5,8.1,31.3,39.3,22.8,8.2,4.5,13.9,21.2,1.6,,37.0,79.7,46.5,6.1,17.2,35.8,16.3,21.0,77.6,30.9,62.6,49.4,1.21,0.5
Kemba Walker,PG,82,82.0,34.9,17.7,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,2.4,18.86,6.4,15.2,42.3,1.3,4.0,32.2,3.6,4.5,79.8,5.1,11.1,45.9,1.17,0.47
Gerald Henderson,SG,68,58.0,31.4,15.5,0.8,2.9,3.7,2.6,1.0,0.5,1.6,2.2,1.6,16.48,5.6,12.6,44.7,0.5,1.5,33.0,3.8,4.6,82.4,5.1,11.1,46.2,1.234,0.47
Ramon Sessions,G,61,0.0,27.1,14.4,0.4,2.3,2.8,3.8,0.8,0.1,1.7,1.5,2.2,17.8,4.5,11.1,40.8,0.5,1.8,30.8,4.8,5.7,83.9,4.0,9.3,42.7,1.296,0.43
Ben Gordon,SG,75,0.0,20.8,11.2,0.2,1.5,1.7,1.9,0.5,0.2,1.8,1.8,1.0,12.74,4.1,10.1,40.8,1.5,3.9,38.7,1.4,1.7,84.3,2.6,6.2,42.1,1.105,0.48
Byron Mullens,C,53,41.0,26.9,10.6,1.3,5.0,6.4,1.5,0.6,0.6,1.4,2.1,1.1,12.35,4.1,10.6,38.5,1.2,3.9,31.7,1.2,1.9,64.6,2.8,6.7,42.5,1.002,0.44
Josh McRoberts,PF,26,19.0,30.8,9.3,2.0,5.2,7.2,2.7,0.8,0.6,1.5,2.5,1.9,14.8,3.7,7.3,50.5,0.3,1.1,24.1,1.7,2.1,78.2,3.4,6.2,55.3,1.274,0.52
Michael Kidd-Gilchrist,F,78,77.0,26.0,9.0,1.7,4.2,5.8,1.5,0.7,0.9,1.3,2.1,1.2,14.04,3.6,7.9,45.8,0.0,0.1,22.2,1.8,2.4,74.9,3.6,7.7,46.2,1.148,0.46
Jannero Pargo,PG,18,0.0,16.2,8.4,0.5,0.7,1.2,1.9,0.8,0.1,1.6,1.4,1.2,14.16,3.2,7.9,40.1,1.6,4.2,38.2,0.4,0.5,88.9,1.6,3.7,42.4,1.063,0.5
Hakim Warrick,PF,27,14.0,17.9,7.0,0.8,2.5,3.3,0.9,0.4,0.2,1.1,1.4,0.9,11.3,2.4,6.0,40.5,0.0,0.1,0.0,2.1,3.2,67.4,2.4,5.9,41.2,1.166,0.4
Jeffery Taylor,SF,77,29.0,19.6,6.1,0.7,1.3,1.9,0.8,0.6,0.2,0.6,1.8,1.3,10.33,2.2,5.2,43.1,0.7,2.0,34.4,1.0,1.3,72.8,1.5,3.2,48.6,1.183,0.5
Bismack Biyombo,C,80,65.0,27.3,4.8,2.4,4.9,7.3,0.4,0.4,1.8,1.0,2.4,0.4,10.07,2.0,4.3,45.1,0.0,0.0,0.0,0.9,1.8,52.1,2.0,4.3,45.1,1.1159999999999999,0.45
Tyrus Thomas,PF,26,2.0,13.8,4.8,0.6,1.7,2.3,0.7,0.5,0.6,0.7,2.0,1.1,9.6,1.8,5.2,35.3,0.1,0.3,37.5,1.0,1.2,83.9,1.7,4.9,35.2,0.919,0.36
Jeff Adrien,SF,52,5.0,13.7,4.0,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,1.1,13.39,1.4,3.2,42.9,0.0,0.0,0.0,1.3,1.9,65.0,1.4,3.2,43.4,1.244,0.43
Reggie Williams,SF,40,0.0,9.5,3.7,0.2,1.1,1.3,1.0,0.3,0.0,0.5,0.5,2.1,13.22,1.4,3.3,43.2,0.6,1.8,30.6,0.3,0.5,47.6,0.9,1.5,58.3,1.1059999999999999,0.52
Brendan Haywood,C,61,17.0,19.0,3.5,2.0,2.7,4.8,0.5,0.3,0.8,0.8,2.0,0.6,8.76,1.5,3.5,43.1,0.0,0.0,0.0,0.5,1.1,45.5,1.5,3.5,43.3,1.0,0.43
Cory Higgins,PG,6,0.0,5.3,2.3,0.2,0.3,0.5,0.8,0.5,0.0,0.0,0.8,inf,12.65,1.0,3.2,31.6,0.2,0.8,20.0,0.2,0.3,50.0,0.8,2.3,35.7,0.737,0.34
DeSagana Diop,C,22,1.0,10.3,0.7,0.5,1.9,2.3,0.6,0.2,0.7,0.4,0.9,1.6,6.63,0.4,1.2,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,30.8,0.593,0.3
Matt Carroll,SG,1,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inf,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,cha,82,,,93.4,11.2,29.1,40.3,19.4,7.2,5.8,13.1,19.0,1.5,,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75.0,28.7,64.0,44.8,1.1520000000000001,0.46
Luol Deng,F,75,75.0,38.7,16.5,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,1.5,15.12,6.2,14.6,42.6,1.0,3.1,32.2,3.1,3.8,81.6,5.2,11.5,45.5,1.1320000000000001,0.46
Carlos Boozer,PF,79,79.0,32.2,16.2,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,1.0,17.17,6.9,14.4,47.7,0.0,0.0,0.0,2.4,3.3,73.1,6.9,14.4,47.8,1.124,0.48
Nate Robinson,PG,82,23.0,25.4,13.1,0.4,1.9,2.2,4.4,1.0,0.1,1.8,2.5,2.5,17.43,4.9,11.2,43.3,1.7,4.2,40.5,1.6,2.1,79.9,3.1,7.0,45.0,1.166,0.51
Joakim Noah,C,66,64.0,36.8,11.9,3.9,7.2,11.1,4.0,1.2,2.1,2.7,2.8,1.5,18.16,4.6,9.5,48.1,0.0,0.1,0.0,2.7,3.6,75.1,4.6,9.5,48.5,1.244,0.48
Richard Hamilton,SG,50,45.0,21.8,9.8,0.3,1.3,1.7,2.4,0.5,0.1,1.7,1.9,1.4,10.65,4.1,9.5,42.9,0.3,1.0,30.8,1.3,1.5,85.7,3.8,8.5,44.4,1.032,0.45
Marco Belinelli,G,73,27.0,25.8,9.6,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,1.8,10.43,3.3,8.4,39.5,1.1,3.0,35.7,1.9,2.3,83.9,2.2,5.3,41.6,1.151,0.46
Jimmy Butler,SF,82,20.0,26.0,8.6,1.7,2.3,4.0,1.4,1.0,0.4,0.8,1.2,1.9,15.26,2.9,6.2,46.7,0.5,1.3,38.1,2.3,2.8,80.3,2.4,5.0,48.9,1.3769999999999998,0.51
Taj Gibson,F,65,5.0,22.4,8.0,1.9,3.4,5.3,0.9,0.4,1.4,1.2,2.6,0.8,14.5,3.3,6.8,48.5,0.0,0.1,0.0,1.4,2.0,67.9,3.3,6.7,49.0,1.172,0.49
Kirk Hinrich,SG,60,60.0,29.4,7.7,0.3,2.4,2.6,5.2,1.1,0.4,1.7,3.2,3.2,10.88,2.7,7.0,37.7,1.2,3.0,39.0,1.2,1.6,71.4,1.5,4.0,36.7,1.088,0.46
Nazr Mohammed,C,63,12.0,11.0,2.6,1.2,1.9,3.1,0.4,0.3,0.5,0.4,1.5,1.1,10.84,1.0,2.9,36.7,0.0,0.0,0.0,0.5,0.7,72.3,1.0,2.8,37.1,0.922,0.37
Daequan Cook,SG,33,0.0,8.4,2.5,0.1,1.2,1.3,0.3,0.1,0.2,0.3,0.4,1.0,4.06,0.9,3.3,27.8,0.5,1.8,24.6,0.2,0.3,77.8,0.5,1.4,31.9,0.759,0.35
Marquis Teague,G,48,0.0,8.2,2.1,0.1,0.9,0.9,1.3,0.2,0.1,0.7,1.0,1.8,6.04,0.9,2.4,38.1,0.1,0.5,17.4,0.2,0.3,56.3,0.8,1.9,43.3,0.8759999999999999,0.4
Malcolm Thomas,PF,7,0.0,5.1,1.7,0.7,0.9,1.6,0.3,0.3,0.1,0.3,1.0,1.0,16.72,0.7,1.3,55.6,0.0,0.0,0.0,0.3,0.6,50.0,0.7,1.3,55.6,1.3330000000000002,0.56
Vladimir Radmanovic,SF,25,0.0,5.8,1.3,0.4,0.7,1.1,0.3,0.3,0.2,0.3,1.2,1.1,6.29,0.5,1.7,30.2,0.2,1.1,18.5,0.1,0.1,66.7,0.3,0.6,50.0,0.767,0.36
Lou Amundson,PF,1,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Total,chi,82,,,93.2,12.5,30.7,43.2,23.0,7.2,5.1,13.7,19.7,1.7,,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,30.2,66.3,45.6,1.141,0.47
Kyrie Irving,PG,59,59.0,34.7,22.5,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,1.8,21.51,8.2,18.1,45.2,1.8,4.7,39.1,4.2,4.9,85.5,6.4,13.4,47.4,1.238,0.5
Dion Waiters,G,61,48.0,28.8,14.7,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,1.5,13.77,5.5,13.4,41.2,1.0,3.3,31.0,2.6,3.5,74.6,4.5,10.0,44.6,1.097,0.45
Anderson Varejao,C,25,25.0,36.0,14.1,5.5,8.9,14.4,3.4,1.5,0.6,1.8,2.7,1.9,21.71,5.5,11.6,47.8,0.0,0.2,0.0,3.1,4.1,75.5,5.5,11.4,48.6,1.2209999999999999,0.48
Tristan Thompson,C,82,82.0,31.3,11.7,3.7,5.7,9.4,1.3,0.7,0.9,1.5,2.9,0.9,16.12,4.8,9.7,48.8,0.0,0.0,0.0,2.2,3.5,60.8,4.8,9.7,49.0,1.198,0.49
C.J. Miles,SG,65,13.0,21.0,11.2,0.4,2.3,2.7,1.0,0.8,0.3,1.1,2.1,0.9,15.38,3.9,9.4,41.5,1.9,5.0,38.4,1.4,1.6,86.9,2.0,4.4,45.1,1.187,0.52
Wayne Ellington,SG,38,17.0,25.9,10.4,0.5,2.5,3.0,1.6,0.8,0.1,0.9,1.1,1.9,13.95,3.8,8.7,43.9,1.4,3.8,37.1,1.4,1.6,89.8,2.4,4.9,49.2,1.2,0.52
Alonzo Gee,SG,82,82.0,31.0,10.3,0.9,3.0,3.9,1.6,1.3,0.4,1.6,2.4,1.0,10.56,3.7,9.1,41.0,0.8,2.7,31.5,2.0,2.5,79.5,2.9,6.4,45.0,1.1320000000000001,0.46
Marreese Speights,F,39,1.0,18.5,10.2,1.8,3.3,5.1,0.7,0.4,0.7,1.2,2.3,0.6,18.3,3.9,8.6,45.7,0.0,0.1,20.0,2.2,2.8,80.6,3.9,8.5,46.1,1.175,0.46
Tyler Zeller,C,77,55.0,26.4,7.9,2.1,3.6,5.7,1.2,0.5,0.9,1.2,3.3,1.0,11.02,3.2,7.3,43.8,0.0,0.1,0.0,1.6,2.0,76.4,3.2,7.2,44.1,1.091,0.44
Jeremy Pargo,PG,25,11.0,17.9,7.8,0.3,1.0,1.3,2.6,0.5,0.1,1.5,1.3,1.7,11.39,3.0,7.5,40.1,0.7,2.3,31.6,1.1,1.6,68.3,2.3,5.2,43.8,1.048,0.45
Shaun Livingston,G,49,12.0,23.2,7.2,0.6,1.9,2.5,3.6,0.8,0.6,1.2,2.1,3.0,14.59,2.9,5.7,50.7,0.0,0.0,0.0,1.4,1.7,84.3,2.9,5.7,50.9,1.264,0.51
Daniel Gibson,SG,46,3.0,20.0,5.4,0.1,1.2,1.3,1.8,0.7,0.1,0.7,1.9,2.6,7.75,1.8,5.4,34.0,1.2,3.5,34.4,0.6,0.8,70.3,0.6,1.8,33.3,1.012,0.45
Donald Sloan,G,20,0.0,12.9,4.1,0.2,1.3,1.4,1.9,0.3,0.0,0.7,0.9,2.8,9.95,1.4,3.9,34.6,0.4,1.0,36.8,1.0,1.3,80.0,1.0,3.0,33.9,1.038,0.39
Omri Casspi,F,43,1.0,11.7,4.0,0.5,2.2,2.7,0.7,0.6,0.3,0.5,1.0,1.3,12.94,1.5,3.7,39.4,0.6,1.8,32.9,0.5,1.0,53.7,0.9,2.0,45.2,1.081,0.47
Luke Walton,SF,50,0.0,17.1,3.4,0.8,2.1,2.9,3.3,0.8,0.3,1.2,2.0,2.8,11.32,1.4,3.6,39.2,0.4,1.3,29.9,0.2,0.4,50.0,1.0,2.3,44.7,0.95,0.45
Samardo Samuels,PF,18,1.0,10.9,3.2,0.6,1.0,1.6,0.4,0.2,0.2,0.3,1.7,1.3,6.25,1.2,3.3,36.7,0.0,0.1,0.0,0.8,1.3,58.3,1.2,3.3,37.3,0.9670000000000001,0.37
Kevin Jones,PF,32,0.0,10.4,3.0,1.2,1.3,2.4,0.3,0.3,0.2,0.3,0.8,1.3,11.14,1.3,3.3,40.2,0.0,0.0,0.0,0.3,0.5,60.0,1.3,3.3,40.2,0.888,0.4
Jon Leuer,F,9,0.0,10.1,2.4,0.6,0.9,1.4,0.6,0.2,0.0,0.6,1.2,1.0,3.32,1.1,3.1,35.7,0.0,0.3,0.0,0.2,0.7,33.3,1.1,2.8,40.0,0.7859999999999999,0.36
Chris Quinn,PG,7,0.0,11.1,1.4,0.1,0.1,0.3,1.3,0.4,0.0,0.9,0.6,1.5,1.32,0.6,2.3,25.0,0.0,0.7,0.0,0.3,0.3,100.0,0.6,1.6,36.4,0.625,0.25
Total,cle,82,,,96.5,12.2,28.8,41.0,20.7,7.9,4.1,13.4,21.2,1.5,,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,29.8,64.9,46.0,1.147,0.47
