Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Josh Smith,PF,76,76.0,35.3,17.5,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,1.4,17.82,7.2,15.6,46.5,0.8,2.6,30.3,2.2,4.2,51.7,6.4,12.9,49.8,1.123,0.49
Al Horford,C,74,74.0,37.2,17.4,2.6,7.6,10.2,3.2,1.1,1.1,2.0,2.2,1.6,19.84,7.8,14.3,54.3,0.0,0.1,50.0,1.8,2.8,64.4,7.7,14.2,54.4,1.216,0.54
Jeff Teague,PG,80,78.0,32.9,14.6,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,2.5,16.82,5.5,12.2,45.1,1.1,3.1,35.9,2.5,2.8,88.1,4.4,9.1,48.2,1.197,0.5
Lou Williams,SG,39,9.0,28.7,14.1,0.2,1.8,2.1,3.6,1.1,0.3,1.9,1.4,1.9,15.98,4.8,11.4,42.2,1.8,5.0,36.7,2.7,3.1,86.8,2.9,6.3,46.6,1.244,0.5
Kyle Korver,G,74,60.0,30.5,10.9,0.3,3.6,4.0,2.0,0.9,0.5,0.9,2.3,2.1,13.93,3.7,8.1,46.1,2.6,5.6,45.7,0.9,1.1,85.9,1.2,2.5,47.1,1.348,0.62
Devin Harris,G,58,34.0,24.5,9.9,0.1,1.9,2.0,3.4,1.1,0.2,1.5,1.8,2.2,14.69,3.3,7.6,43.8,1.3,4.0,33.5,1.9,2.7,72.7,2.0,3.7,54.9,1.3019999999999998,0.52
Ivan Johnson,PF,69,5.0,15.0,6.6,1.1,2.8,3.9,0.7,0.8,0.2,1.0,1.9,0.6,15.8,2.7,5.2,52.0,0.0,0.2,7.7,1.2,1.9,61.8,2.7,5.0,53.6,1.27,0.52
John Jenkins,G,61,2.0,14.8,6.1,0.3,1.3,1.5,0.9,0.2,0.2,0.7,0.6,1.4,13.08,2.1,4.8,44.6,0.9,2.3,38.4,1.0,1.1,84.3,1.3,2.6,50.0,1.272,0.54
Zaza Pachulia,C,52,15.0,21.8,5.9,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,1.1,13.11,2.2,4.6,47.3,0.0,0.1,0.0,1.5,2.0,75.7,2.2,4.6,47.9,1.27,0.47
Anthony Morrow,SG,24,1.0,12.5,5.2,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,2.3,12.4,2.0,4.6,42.3,0.6,1.6,39.5,0.7,0.8,88.9,1.3,3.0,43.8,1.126,0.49
Shelvin Mack,G,20,1.0,13.4,5.2,0.0,1.2,1.2,2.2,0.5,0.0,1.2,1.4,1.8,12.32,2.1,4.2,48.8,0.7,1.8,40.0,0.4,0.7,57.1,1.4,2.5,55.1,1.238,0.57
DeShawn Stevenson,SG,56,31.0,20.7,5.1,0.3,1.9,2.2,0.9,0.5,0.1,0.4,1.2,2.3,8.11,1.8,4.7,37.4,1.4,3.7,36.4,0.2,0.4,52.2,0.4,0.9,41.5,1.084,0.52
Jannero Pargo,PG,7,0.0,16.1,5.0,0.1,0.9,1.0,2.7,0.4,0.0,0.7,1.1,3.8,9.73,1.9,5.4,34.2,1.0,2.9,35.0,0.3,0.3,100.0,0.9,2.6,33.3,0.9209999999999999,0.43
Mike Scott,PF,40,1.0,9.4,4.6,1.0,1.8,2.8,0.3,0.1,0.1,0.5,0.8,0.6,16.34,1.8,3.7,47.6,0.0,0.0,0.0,1.1,1.4,76.8,1.8,3.7,47.9,1.245,0.48
Anthony Tolliver,F,62,11.0,15.5,4.1,0.5,2.0,2.5,0.5,0.2,0.2,0.6,1.1,0.9,8.44,1.3,3.5,38.0,0.7,2.1,33.8,0.7,0.8,86.3,0.6,1.3,44.6,1.171,0.48
Johan Petro,C,31,8.0,11.4,3.5,1.1,2.5,3.6,0.5,0.3,0.3,0.8,1.5,0.7,11.01,1.5,3.5,43.6,0.0,0.1,25.0,0.4,0.4,91.7,1.5,3.4,44.3,0.982,0.44
Dahntay Jones,SG,28,4.0,13.6,3.1,0.4,0.7,1.1,0.7,0.4,0.0,0.6,1.6,1.3,5.46,1.1,2.9,39.0,0.1,0.4,25.0,0.8,1.1,67.7,1.0,2.5,41.4,1.073,0.41
Jeremy Tyler,C,1,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,atl,82,,,98.0,9.2,31.6,40.9,24.5,8.1,4.5,14.3,18.0,1.7,,37.6,81.0,46.4,8.6,23.2,37.1,14.1,19.7,71.5,29.0,57.8,50.1,1.209,0.52
Brook Lopez,C,74,74.0,30.4,19.4,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,0.5,24.81,7.7,14.8,52.1,0.0,0.0,0.0,4.0,5.3,75.8,7.7,14.8,52.2,1.314,0.52
Deron Williams,PG,78,78.0,36.4,18.9,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,2.8,20.38,6.3,14.4,44.0,2.2,5.7,37.8,4.1,4.7,85.9,4.2,8.7,48.2,1.3130000000000002,0.52
Joe Johnson,G,72,72.0,36.7,16.3,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,2.1,14.14,6.2,14.6,42.3,2.1,5.5,37.5,1.8,2.2,82.0,4.1,9.1,45.2,1.112,0.49
Andray Blatche,C,82,8.0,19.0,10.3,2.0,3.1,5.1,1.0,1.0,0.7,1.5,2.0,0.7,21.98,4.2,8.2,51.2,0.0,0.3,13.6,1.8,2.6,68.5,4.2,8.0,52.4,1.247,0.51
Gerald Wallace,SF,69,68.0,30.1,7.7,1.0,3.6,4.6,2.6,1.4,0.7,1.6,1.7,1.6,11.58,2.6,6.6,39.7,0.7,2.4,28.2,1.8,2.8,63.7,2.0,4.3,46.1,1.159,0.45
C.J. Watson,PG,80,8.0,19.0,6.8,0.5,1.3,1.8,2.0,0.8,0.2,0.9,1.5,2.3,13.9,2.4,5.7,41.8,1.1,2.7,41.1,0.9,1.1,78.0,1.3,3.1,42.4,1.183,0.51
Kris Humphries,PF,65,21.0,18.3,5.8,1.9,3.7,5.6,0.5,0.2,0.5,0.9,2.0,0.6,13.67,2.1,4.8,44.8,0.0,0.0,0.0,1.5,1.9,78.9,2.1,4.7,45.1,1.21,0.45
MarShon Brooks,G,73,2.0,12.5,5.4,0.4,1.0,1.4,1.0,0.5,0.2,0.9,1.3,1.1,13.55,2.1,4.6,46.3,0.2,0.8,27.3,0.9,1.3,73.4,1.9,3.8,50.0,1.176,0.49
Jerry Stackhouse,SF,37,0.0,14.7,4.9,0.1,0.8,0.9,0.9,0.2,0.1,0.6,0.8,1.5,8.57,1.8,4.6,38.4,0.8,2.4,33.7,0.5,0.6,87.0,1.0,2.2,43.4,1.058,0.47
Reggie Evans,C,80,56.0,24.6,4.5,3.3,7.9,11.1,0.5,0.9,0.2,1.4,2.5,0.4,12.81,1.6,3.3,47.9,0.0,0.0,0.0,1.4,2.8,50.9,1.6,3.3,47.9,1.391,0.48
Keith Bogans,SG,74,23.0,19.0,4.2,0.2,1.4,1.6,1.0,0.4,0.1,0.7,1.5,1.6,6.69,1.5,3.8,38.0,1.1,3.3,34.3,0.1,0.2,64.7,0.3,0.5,61.5,1.095,0.53
Mirza Teletovic,PF,53,0.0,9.4,3.5,0.6,1.2,1.8,0.4,0.2,0.2,0.4,1.0,1.2,12.39,1.3,3.5,38.4,0.7,2.0,34.3,0.2,0.2,81.8,0.6,1.5,44.2,1.016,0.48
Tyshawn Taylor,PG,38,0.0,5.8,2.2,0.1,0.4,0.5,0.6,0.3,0.0,0.7,0.7,0.8,6.28,0.8,2.3,36.8,0.2,0.3,46.2,0.4,0.7,55.6,0.7,1.9,35.1,0.977,0.4
Tornike Shengelia,SF,19,0.0,4.9,1.6,0.5,0.7,1.2,0.2,0.2,0.1,0.6,0.6,0.3,8.54,0.5,1.2,43.5,0.1,0.1,50.0,0.5,0.8,56.3,0.5,1.1,42.9,1.304,0.46
Josh Childress,F,14,0.0,7.1,1.0,0.4,0.6,1.1,0.4,0.1,0.1,0.0,0.2,inf,7.04,0.4,1.5,28.6,0.1,0.2,33.3,0.1,0.1,50.0,0.4,1.3,27.8,0.667,0.31
Kris Joseph,SF,4,0.0,7.5,0.5,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.3,0.0,3.72,0.0,0.8,0.0,0.0,0.3,0.0,0.5,1.0,50.0,0.0,0.5,0.0,0.667,0.0
Damion James,SF,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,bkn,82,,,96.9,12.8,30.0,42.8,20.3,7.3,4.8,13.9,18.3,1.5,,35.9,79.8,45.0,7.7,21.5,35.7,17.5,23.9,73.1,28.2,58.3,48.4,1.214,0.5
Paul Pierce,SF,77,77.0,33.4,18.6,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,1.7,19.14,6.2,14.2,43.6,1.9,5.0,38.0,4.3,5.5,78.7,4.3,9.2,46.6,1.31,0.5
Kevin Garnett,PF,68,68.0,29.7,14.8,1.1,6.7,7.8,2.3,1.1,0.9,1.6,2.3,1.4,19.25,6.2,12.5,49.6,0.0,0.2,12.5,2.3,3.0,78.6,6.2,12.3,50.4,1.181,0.5
Rajon Rondo,PG,38,38.0,37.4,13.7,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,2.8,18.12,5.9,12.2,48.4,0.3,1.3,24.0,1.6,2.4,64.5,5.6,10.9,51.3,1.123,0.5
Jeff Green,PF,81,17.0,27.8,12.8,0.7,3.2,3.9,1.6,0.7,0.8,1.6,2.2,1.0,15.01,4.6,10.0,46.7,0.9,2.2,38.5,2.6,3.3,80.8,3.8,7.7,49.0,1.285,0.51
Jason Terry,G,79,24.0,26.9,10.1,0.2,1.8,2.0,2.5,0.8,0.1,1.3,1.4,1.9,12.81,3.6,8.2,43.4,1.6,4.2,37.2,1.4,1.7,87.0,2.0,4.0,49.8,1.2329999999999999,0.53
Avery Bradley,PG,50,50.0,28.7,9.2,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,1.4,8.89,3.8,9.6,40.2,0.8,2.5,31.7,0.7,1.0,75.5,3.0,7.0,43.2,0.9640000000000001,0.44
Jordan Crawford,G,27,2.0,21.6,9.1,0.5,2.3,2.7,2.5,0.4,0.1,1.6,1.7,1.5,12.05,3.3,8.0,41.5,0.9,2.8,32.0,1.6,2.0,79.2,2.4,5.3,46.5,1.1340000000000001,0.47
Brandon Bass,PF,81,69.0,27.6,8.7,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,1.1,12.38,3.5,7.3,48.6,0.0,0.0,0.0,1.6,1.9,86.0,3.5,7.2,48.7,1.19,0.49
Courtney Lee,G,78,39.0,24.9,7.8,0.4,2.0,2.4,1.8,1.1,0.3,1.1,1.8,1.7,11.71,3.2,6.8,46.4,0.7,2.0,37.2,0.8,0.9,86.1,2.4,4.8,50.3,1.155,0.52
Jared Sullinger,C,45,5.0,19.8,6.0,2.0,3.8,5.9,0.8,0.5,0.5,0.6,3.4,1.2,13.52,2.5,5.0,49.3,0.0,0.1,20.0,1.0,1.4,74.6,2.4,4.9,50.0,1.2,0.5
Leandro Barbosa,G,41,2.0,12.5,5.2,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,2.8,13.57,2.0,4.7,43.0,0.4,1.1,38.3,0.8,1.0,75.6,1.6,3.6,44.5,1.114,0.48
