Name,DD
David Lee,56
Dwight Howard,48
Nikola Vucevic,46
Zach Randolph,45
Carlos Boozer,44
Al Horford,43
JJ Hickson,40
LaMarcus Aldridge,38
Al Jefferson,37
Greg Monroe,37
Tim Duncan,36
LeBron James,36
DeMarcus Cousins,35
Omer Asik,33
Joakim Noah,33
Kenneth Faried,31
Chris Paul,31
Tristan Thompson,31
Josh Smith,29
Blake Griffin,28
Nikola Pekovic,26
Larry Sanders,26
Greivis Vasquez,25
Paul George,23
Roy Hibbert,23
Russell Westbrook,23
Deron Williams,21
Thaddeus Young,21
Tyson Chandler,20
Anthony Davis,20
Jrue Holiday,20
Emeka Okafor,20
Rajon Rondo,20
Goran Dragic,19
Kevin Durant,19
Kevin Garnett,19
Spencer Hawes,19
Marc Gasol,18
Ersan Ilyasova,18
Marcin Gortat,17
Tony Parker,17
Kobe Bryant,16
Anderson Varejao,16
David West,16
Chris Bosh,15
Stephen Curry,15
Pau Gasol,15
Serge Ibaka,15
Amir Johnson,15
Paul Millsap,15
Luis Scola,15
Jeff Teague,15
Kevin Love,14
Shawn Marion,14
Jameer Nelson,14
Evan Turner,14
John Wall,14
Brandon Jennings,13
Ricky Rubio,13
Jason Thompson,13
DeAndre Jordan,12
Brook Lopez,12
Paul Pierce,12
Ryan Anderson,11
Jose Calderon,11
Earl Clark,11
Kyle Lowry,11
Tiago Splitter,11
Al-Farouq Aminu,10
Carmelo Anthony,10
Glen Davis,10
Andre Iguodala,10
Ed Davis,9
Luol Deng,9
Andre Drummond,9
Monta Ellis,9
Derrick Favors,9
James Harden,9
Tobias Harris,9
Ty Lawson,9
Jeremy Lin,9
Robin Lopez,9
Elton Brand,8
Samuel Dalembert,8
Reggie Evans,8
Jarrett Jack,8
Byron Mullens,8
Steve Nash,8
Chandler Parsons,8
JR Smith,8
Jonas Valanciunas,8
Derrick Williams,8
Nicolas Batum,7
Bismack Biyombo,7
Andray Blatche,7
Mike Conley,7
Andrei Kirilenko,7
Carl Landry,7
Damian Lillard,7
Nene,7
Tyler Zeller,7
Rudy Gay,6
Tyler Hansbrough,6
John Henson,6
Kris Humphries,6
Michael Kidd-Gilchrist,6
Kosta Koufos,6
Kawhi Leonard,6
Dirk Nowitzki,6
Taj Gibson,5
Antawn Jamison,5
Jason Maxiell,5
Jermaine O'Neal,5
Marreese Speights,5
Kemba Walker,5
Harrison Barnes,4
Jimmy Butler,4
Kyrie Irving,4
Andre Miller,4
Zaza Pachulia,4
Patrick Patterson,4
Kevin Seraphin,4
Jared Sullinger,4
Dwyane Wade,4
Lavoy Allen,3
Brandon Bass,3
Bradley Beal,3
Trevor Booker,3
Will Bynum,3
Darren Collison,3
Dante Cunningham,3
Raymond Felton,3
George Hill,3
Ivan Johnson,3
Chris Kaman,3
Brandon Knight,3
Josh McRoberts,3
Markieff Morris,3
Nate Robinson,3
Thomas Robinson,3
P.J. Tucker,3
Beno Udrih,3
Gerald Wallace,3
Mo Williams,3
Cole Aldrich,2
Tony Allen,2
Trevor Ariza,2
Gustavo Alfonso Ayon,2
Michael Beasley,2
Eric Bledsoe,2
Landry Fields,2
Danilo Gallinari,2
Alonzo Gee,2
Gerald Henderson,2
Enes Kanter,2
O.J. Mayo,2
JaVale McGee,2
Nazr Mohammed,2
Andrew Nicholson,2
Kyle O'Quinn,2
Johan Petro,2
Tayshaun Prince,2
Luke Ridnour,2
Brian Roberts,2
Mike Scott,2
Alexey Shved,2
Greg Smith,2
Lance Stephenson,2
Isaiah Thomas,2
Charlie Villanueva,2
Marvin Williams,2
Metta World Peace,2
Jeff Adrien,1
Jeff Ayres,1
J.J. Barea,1
Matt Barnes,1
Earl Barron,1
Will Barton,1
DeJuan Blair,1
Andrew Bogut,1
Matt Bonner,1
Ronnie Brewer,1
Vince Carter,1
Norris Cole,1
Nick Collison,1
Jordan Crawford,1
Jared Dudley,1
Chris Duhon,1
Mike Dunleavy,1
Tyreke Evans,1
Manu Ginobili,1
Aaron Gray,1
Jeff Green,1
Maurice Harkless,1
Udonis Haslem,1
Brendan Haywood,1
Kirk Hinrich,1
Josh Howard,1
Stephen Jackson,1
Kevin Jones,1
Terrence Jones,1
Slava Kravtsov,1
Meyers Leonard,1
Kenyon Martin,1
Wesley Matthews,1
Luc Mbah a Moute,1
E'Twaun Moore,1
Arnett Moultrie,1
Timofey Mozgov,1
A.J. Price,1
Anthony Randolph,1
John Salmons,1
Tornike Shengelia,1
Kyle Singler,1
Chris Singleton,1
Jason Smith,1
Greg Stiemsma,1
Rodney Stuckey,1
Jason Terry,1
Hasheem Thabeet,1
Ekpe Udoh,1
Hakim Warrick,1
Martell Webster,1
Lou Williams,1
Brandan Wright,1
