Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Paul Millsap,PF,81,81.0,32.7,17.1,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,1.4,21.33,6.2,13.2,47.0,0.9,2.9,31.9,3.8,5.0,75.7,5.3,10.3,51.2,1.2990000000000002,0.5
Jeff Teague,PG,79,78.0,28.5,15.7,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,2.2,17.98,5.5,12.5,43.9,1.4,3.5,40.0,3.3,3.9,83.7,4.1,9.0,45.4,1.254,0.49
Al Horford,C,82,82.0,32.1,15.2,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,2.5,19.46,6.5,12.8,50.5,1.1,3.1,34.4,1.3,1.6,79.8,5.4,9.7,55.7,1.192,0.55
Kent Bazemore,SF,75,68.0,27.8,11.6,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,1.2,13.42,4.3,9.7,44.1,1.5,4.1,35.7,1.6,2.0,81.5,2.8,5.6,50.2,1.203,0.52
Dennis Schroder,PG,80,6.0,20.3,11.0,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,1.9,15.62,4.1,9.8,42.1,1.0,3.0,32.2,1.8,2.3,79.1,3.2,6.8,46.5,1.125,0.47
Kyle Korver,G,80,80.0,30.0,9.2,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,1.7,9.78,3.4,7.7,43.5,2.0,5.0,39.9,0.6,0.7,83.3,1.4,2.8,50.0,1.2,0.56
Thabo Sefolosha,F,75,11.0,23.4,6.4,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,1.6,12.4,2.5,5.0,50.5,0.6,1.7,33.9,0.8,1.3,62.6,1.9,3.3,58.9,1.29,0.56
Tim Hardaway Jr.,SG,51,1.0,16.9,6.4,0.1,1.5,1.7,1.0,0.4,0.1,0.5,0.9,2.2,11.71,2.2,5.2,43.0,0.9,2.8,33.8,1.0,1.1,89.3,1.3,2.4,53.7,1.23,0.52
Kris Humphries,PF,21,0.0,14.0,6.4,1.0,2.4,3.4,0.6,0.5,0.3,0.7,2.1,0.9,15.01,2.2,4.8,46.5,0.4,1.5,25.8,1.5,2.1,71.1,1.9,3.3,55.7,1.327,0.5
Mike Scott,PF,75,0.0,15.3,6.2,0.7,2.0,2.7,1.0,0.3,0.2,0.6,1.4,1.9,14.06,2.3,5.0,46.8,0.8,2.1,39.2,0.7,0.8,79.4,1.5,2.9,52.3,1.234,0.55
