Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Paul Millsap,PF,69,67.0,34.0,18.1,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,1.6,17.91,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,5.1,10.6,48.6,1.2819999999999998,0.48
Dennis Schroder,PG,79,78.0,31.5,17.9,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,1.9,16.18,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,5.7,11.6,48.7,1.165,0.49
Tim Hardaway Jr.,SG,79,30.0,27.3,14.5,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,1.7,15.26,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,3.4,6.3,53.7,1.253,0.54
Dwight Howard,C,74,74.0,29.7,13.5,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,0.6,20.89,5.2,8.3,63.3,0.0,0.0,0.0,3.1,5.7,53.3,5.2,8.3,63.5,1.635,0.63
Kent Bazemore,SF,73,64.0,26.9,11.0,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,1.4,11.6,4.0,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,2.8,6.2,44.6,1.111,0.47
Ersan Ilyasova,F,26,12.0,24.3,10.4,1.6,4.2,5.8,1.6,0.8,0.3,1.3,2.8,1.3,13.63,3.6,8.7,41.2,1.2,3.5,34.8,2.0,2.5,80.0,2.3,5.2,45.5,1.195,0.48
Kyle Korver,G,32,21.0,27.9,9.5,0.0,2.8,2.8,2.3,0.7,0.4,1.3,1.5,1.9,10.87,3.4,7.7,43.9,2.0,5.0,40.9,0.8,0.8,88.9,1.3,2.7,49.4,1.24,0.57
Thabo Sefolosha,F,62,42.0,25.7,7.2,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,1.8,11.92,2.8,6.4,44.1,0.7,1.9,34.2,0.9,1.2,73.3,2.1,4.4,48.4,1.124,0.49
Mike Muscala,PF,70,3.0,17.7,6.2,1.1,2.3,3.4,1.4,0.4,0.6,0.8,1.4,1.7,14.43,2.4,4.8,50.4,0.7,1.6,41.8,0.7,0.9,76.6,1.8,3.2,54.6,1.291,0.57
Taurean Prince,PF,59,10.0,16.6,5.7,0.4,2.2,2.7,0.9,0.7,0.5,1.0,1.6,0.9,9.88,1.9,4.8,40.0,0.6,1.7,32.4,1.3,1.6,78.7,1.4,3.1,44.3,1.175,0.46
Mike Dunleavy,SG,30,0.0,15.8,5.6,0.4,1.9,2.3,1.0,0.3,0.2,0.5,1.2,2.1,11.98,1.9,4.3,43.8,1.1,2.6,42.9,0.7,0.9,84.6,0.8,1.8,45.3,1.3,0.57
Malcolm Delaney,G,73,2.0,17.1,5.4,0.1,1.5,1.7,2.6,0.5,0.0,1.3,1.5,2.0,7.56,2.0,5.3,37.4,0.4,1.5,23.6,1.0,1.3,80.6,1.6,3.8,42.8,1.008,0.41
Kris Humphries,PF,56,4.0,12.3,4.6,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,1.0,13.65,1.6,3.8,40.7,0.3,1.0,35.2,1.1,1.5,78.0,1.2,2.9,42.5,1.2009999999999998,0.45
Jose Calderon,G,17,2.0,14.5,3.6,0.4,1.5,1.9,2.2,0.2,0.0,0.9,0.8,2.5,8.71,1.4,3.4,40.4,0.5,1.8,26.7,0.4,0.5,87.5,0.9,1.6,55.6,1.07,0.47
DeAndre' Bembry,SF,38,1.0,9.8,2.7,0.4,1.2,1.6,0.8,0.2,0.1,0.4,0.6,1.8,8.98,1.2,2.6,48.0,0.0,0.5,5.6,0.2,0.4,37.5,1.2,2.1,57.5,1.031,0.48
Mike Scott,PF,18,0.0,10.8,2.5,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.1,5.95,0.9,3.3,28.8,0.2,1.5,14.8,0.4,0.4,87.5,0.7,1.8,40.6,0.763,0.32
Gary Neal,PG,2,0.0,9.0,2.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,inf,-4.25,0.0,3.5,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.5,0.0,0.5710000000000001,0.0
Edy Tavares,C,1,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,100.0,2.0,1.0
Lamar Patterson,SG,5,0.0,8.0,1.8,0.2,1.2,1.4,1.2,0.2,0.0,0.8,1.2,1.5,-1.83,0.6,3.0,20.0,0.2,1.2,16.7,0.4,0.6,66.7,0.4,1.8,22.2,0.6,0.23
Ryan Kelly,PF,16,0.0,6.9,1.6,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,2.0,7.84,0.5,1.8,28.6,0.3,0.6,40.0,0.3,0.4,83.3,0.3,1.1,22.2,0.893,0.36
Total,atl,82,,,103.2,10.3,34.1,44.3,23.6,8.2,4.8,15.2,18.2,1.6,,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,29.2,58.3,50.1,1.2229999999999999,0.5
Brook Lopez,C,75,75.0,29.6,20.5,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,1.0,20.48,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81.0,5.6,10.5,53.6,1.3130000000000002,0.53
Jeremy Lin,G,36,33.0,24.5,14.5,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,2.1,19.33,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,3.3,6.8,48.0,1.308,0.51
Bojan Bogdanovic,SF,55,54.0,26.9,14.2,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,1.0,13.07,4.9,11.1,44.0,1.8,5.0,35.7,2.7,3.0,87.4,3.1,6.1,50.9,1.2819999999999998,0.52
Sean Kilpatrick,G,70,24.0,25.1,13.1,0.3,3.7,4.0,2.2,0.6,0.1,1.9,1.7,1.2,13.16,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,2.9,6.1,46.8,1.25,0.49
Trevor Booker,F,71,43.0,24.7,10.0,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,1.1,15.71,4.3,8.3,51.6,0.4,1.1,32.1,1.0,1.5,67.3,3.9,7.2,54.6,1.2,0.54
Rondae Hollis-Jefferson,F,78,50.0,22.6,8.7,1.2,4.6,5.8,2.0,1.1,0.6,1.5,2.3,1.3,13.71,3.0,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,2.8,6.1,46.3,1.245,0.45
Joe Harris,SG,52,11.0,21.9,8.2,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,1.0,9.04,3.0,7.0,42.5,1.6,4.3,38.5,0.7,0.9,71.4,1.3,2.7,48.9,1.182,0.54
Caris LeVert,SG,57,26.0,21.7,8.2,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,1.9,12.29,3.0,6.7,45.0,1.0,3.2,32.1,1.2,1.6,72.0,2.0,3.4,57.1,1.232,0.53
Archie Goodwin,SG,12,0.0,15.3,7.9,0.6,1.8,2.3,1.9,0.3,0.3,1.2,0.6,1.6,18.62,2.8,5.1,55.7,0.3,1.1,30.8,1.9,2.7,71.9,2.5,4.0,62.5,1.557,0.59
Isaiah Whitehead,G,73,26.0,22.5,7.4,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,1.4,7.59,2.8,7.0,40.2,0.6,2.0,29.5,1.2,1.5,80.5,2.2,4.9,44.6,1.069,0.44
Spencer Dinwiddie,PG,59,18.0,22.6,7.3,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,2.8,12.72,2.3,5.1,44.4,0.6,1.7,37.6,2.1,2.7,79.2,1.6,3.4,47.8,1.43,0.51
Justin Hamilton,C,64,7.0,18.4,6.9,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,1.3,13.61,2.7,5.9,45.9,0.9,2.8,30.6,0.6,0.8,75.0,1.9,3.1,59.8,1.166,0.53
Quincy Acy,F,32,1.0,15.9,6.5,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,0.9,13.11,2.0,4.8,42.5,1.1,2.6,43.4,1.3,1.8,75.4,0.9,2.2,41.4,1.3659999999999999,0.54
KJ McDaniels,F,20,0.0,14.7,6.3,0.5,2.2,2.6,0.5,0.6,0.5,1.0,1.3,0.5,12.55,2.3,5.1,45.5,0.6,2.0,28.2,1.2,1.4,82.1,1.8,3.1,56.5,1.248,0.51
Yogi Ferrell,G,10,0.0,15.1,5.4,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,1.2,6.58,1.8,4.9,36.7,0.8,2.7,29.6,1.0,1.6,62.5,1.0,2.2,45.5,1.102,0.45
Randy Foye,SG,69,40.0,18.6,5.2,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,1.7,7.33,1.7,4.7,36.3,1.0,2.9,33.0,0.8,0.9,85.7,0.7,1.8,41.8,1.0979999999999999,0.47
Luis Scola,F,36,1.0,12.8,5.1,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,1.1,13.96,2.0,4.2,47.0,0.5,1.4,34.0,0.7,1.0,67.6,1.5,2.8,53.5,1.219,0.53
Anthony Bennett,F,23,1.0,11.5,5.0,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,1.0,14.72,1.7,4.0,41.3,0.6,2.1,27.1,1.1,1.6,72.2,1.1,1.9,56.8,1.25,0.48
Andrew Nicholson,F,10,0.0,11.1,3.0,0.4,2.3,2.7,0.3,0.5,0.0,0.6,1.8,0.5,5.09,1.3,3.4,38.2,0.2,1.1,18.2,0.2,0.2,100.0,1.1,2.3,47.8,0.882,0.41
Chris McCullough,F,14,0.0,5.1,2.5,0.6,0.6,1.2,0.1,0.1,0.1,0.1,0.5,1.0,16.86,1.1,2.2,51.6,0.1,0.4,16.7,0.1,0.2,66.7,1.1,1.8,60.0,1.129,0.53
Greivis Vasquez,PG,3,0.0,13.0,2.3,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,5.0,4.1,0.7,2.7,25.0,0.3,1.0,33.3,0.7,1.0,66.7,0.3,1.7,20.0,0.875,0.31
Total,bkn,82,,,105.8,8.8,35.1,43.9,21.4,7.2,4.7,15.9,21.0,1.3,,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,27.1,53.6,50.6,1.2409999999999999,0.51
Isaiah Thomas,PG,76,76.0,33.8,28.9,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,2.1,26.59,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,5.8,10.9,52.8,1.493,0.55
Avery Bradley,PG,55,55.0,33.4,16.3,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,1.4,14.52,6.5,14.1,46.3,2.0,5.0,39.0,1.2,1.7,73.1,4.6,9.1,50.4,1.1540000000000001,0.53
Al Horford,C,68,68.0,32.3,14.0,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,2.9,17.77,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,4.3,8.2,52.4,1.189,0.53
Jae Crowder,SF,72,72.0,32.4,13.9,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,1.9,14.99,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,2.4,4.5,54.0,1.3880000000000001,0.57
Marcus Smart,PG,79,24.0,30.4,10.6,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,2.3,12.07,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,2.2,5.3,42.0,1.115,0.42
Kelly Olynyk,F,75,6.0,20.5,9.0,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,1.5,15.32,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,2.6,4.2,60.8,1.335,0.58
Jaylen Brown,SG,78,20.0,17.2,6.6,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,0.9,10.33,2.5,5.4,45.4,0.6,1.7,34.1,1.1,1.6,68.5,1.9,3.7,50.7,1.217,0.51
Amir Johnson,F,80,77.0,20.1,6.5,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,1.8,15.03,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67.0,2.3,3.8,61.2,1.405,0.61
Gerald Green,G,47,0.0,11.4,5.6,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,1.3,12.02,2.0,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,1.2,2.6,46.3,1.129,0.49
Terry Rozier,PG,74,0.0,17.1,5.5,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,2.8,10.9,2.0,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,1.3,3.1,40.5,0.998,0.44
Jonas Jerebko,F,78,6.0,15.8,3.8,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,1.8,9.29,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.9,1.7,52.3,1.141,0.52
Tyler Zeller,C,51,5.0,10.3,3.5,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,2.1,13.04,1.5,3.1,49.4,0.0,0.0,0.0,0.4,0.8,56.4,1.5,3.1,49.7,1.127,0.49
