PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
James Harden,72,35.4,.619,23.2,11.6,35.9,1.8,15.2,8.6,29.87,718.5,23.9
Russell Westbrook,80,36.4,.524,26.1,12.1,35.7,5.6,25.7,15.3,24.80,600.0,20.0
Joel Embiid,63,30.3,.573,11.7,13.8,31.8,8.4,29.7,19.4,22.95,352.5,11.7
LeBron James,82,36.9,.621,25.7,11.9,31.7,3.7,22.3,13.1,28.65,819.5,27.3
Devin Booker,54,34.5,.561,15.4,11.8,30.7,1.5,12.7,7.0,18.12,212.0,7.1
D'Angelo Russell,48,25.7,.509,22.1,13.1,30.6,2.6,13.8,8.1,15.31,79.3,2.6
DeMarcus Cousins,48,36.2,.583,16.7,15.8,30.5,6.8,30.9,19.2,22.66,312.5,10.4
Damian Lillard,73,36.6,.594,20.6,8.8,30.5,2.6,10.6,6.6,25.19,565.4,18.8
John Wall,41,34.4,.515,29.7,11.9,30.3,1.8,10.2,6.0,19.20,172.5,5.8
Kyrie Irving,60,32.2,.610,18.6,8.5,30.3,1.9,10.8,6.4,25.03,404.4,13.5
Dennis Schroder,67,31.0,.515,22.4,9.8,30.2,2.4,8.8,5.6,17.41,198.7,6.6
Stephen Curry,51,32.0,.675,21.2,10.5,30.0,2.7,14.4,9.0,28.32,421.7,14.1
Giannis Antetokounmpo,75,36.7,.598,15.9,9.8,29.8,6.7,25.3,16.0,27.37,652.7,21.8
Lou Williams,79,32.8,.574,18.9,10.6,29.3,1.7,6.6,4.2,20.29,378.3,12.6
Victor Oladipo,75,34.0,.577,15.8,10.7,29.1,2.1,15.1,8.6,23.12,480.7,16.0
Kevin Durant,68,34.2,.640,18.6,10.5,29.1,1.6,19.5,11.2,26.05,539.7,18.0
DeMar DeRozan,80,33.9,.555,18.5,7.8,29.0,2.5,10.4,6.5,21.10,429.0,14.3
Kristaps Porzingis,48,32.4,.539,4.9,8.0,29.0,4.4,18.1,11.3,20.42,206.9,6.9
Blake Griffin,58,34.0,.544,20.4,10.1,28.5,4.1,19.9,12.0,19.65,239.8,8.0
Zach LaVine,24,27.3,.499,13.9,8.3,28.4,1.4,14.4,7.7,14.65,35.8,1.2
Dennis Smith Jr.,69,29.7,.473,21.6,11.7,28.3,2.6,11.8,7.0,12.89,57.8,1.9
Tyreke Evans,52,30.9,.561,20.9,9.1,28.2,3.1,16.3,9.5,21.16,255.6,8.5
Isaiah Thomas,32,26.9,.508,21.1,13.1,28.2,2.2,6.3,4.2,12.63,20.9,0.7
Donovan Mitchell,79,33.4,.541,14.6,10.8,27.9,2.3,10.4,6.4,16.74,245.8,8.2
Anthony Davis,75,36.4,.612,8.4,7.9,27.7,7.7,24.8,16.5,28.98,711.4,23.7
LaMarcus Aldridge,75,33.5,.570,8.5,6.2,27.5,10.8,17.3,14.0,25.12,510.2,17.0
Reggie Jackson,45,26.7,.516,24.5,10.2,27.4,2.6,9.0,5.7,15.96,89.0,3.0
Kemba Walker,80,34.2,.572,20.5,8.2,27.1,1.2,8.7,4.9,20.62,392.9,13.1
Bradley Beal,82,36.3,.564,16.7,9.6,26.8,2.3,11.5,6.9,18.51,355.7,11.9
Zach Randolph,59,25.6,.529,12.1,11.0,26.4,7.0,23.7,15.0,17.41,133.0,4.4
J.J. Barea,69,23.2,.545,33.1,10.9,26.0,1.0,13.4,7.0,17.84,163.5,5.5
Trey Burke,36,21.8,.563,27.3,6.9,26.0,1.8,8.2,5.0,21.11,118.5,3.9
Mike James,36,19.1,.469,23.6,9.2,25.8,2.0,12.2,7.0,13.94,0.0,0.0
Michael Beasley,74,22.3,.556,10.8,12.5,25.8,6.5,21.2,13.9,17.89,182.4,6.1
CJ McCollum,81,36.1,.536,13.3,7.4,25.6,2.0,9.9,6.0,17.00,283.7,9.5
Sean Kilpatrick,52,12.3,.507,11.2,9.3,25.5,0.0,0.0,0.0,0.00,-100.3,-3.3
Eric Bledsoe,74,31.4,.582,21.6,12.6,25.5,2.6,11.7,7.1,19.79,304.8,10.2
Chris Paul,58,31.8,.604,30.9,8.6,25.4,2.3,16.7,9.5,24.39,369.2,12.3
Goran Dragic,75,31.7,.543,20.9,9.7,25.4,2.5,11.9,7.2,16.64,200.0,6.7
Paul George,79,36.6,.570,13.2,10.6,25.3,2.7,14.9,8.6,18.71,354.0,11.8
Kris Dunn,52,29.3,.488,26.4,12.8,25.2,1.6,14.4,7.8,14.58,81.6,2.7
Jusuf Nurkic,79,26.4,.528,10.2,13.1,25.1,10.0,26.9,18.5,19.28,270.3,9.0
Marc Gasol,73,33.0,.532,18.2,11.5,25.1,3.7,25.3,14.2,17.42,244.9,8.2
Marreese Speights,52,13.0,.539,8.8,8.8,25.1,3.4,18.4,10.8,13.76,22.7,0.8
Emmanuel Mudiay,64,19.4,.474,22.8,12.5,25.1,2.4,11.3,6.8,11.51,9.5,0.3
Nikola Jokic,75,32.5,.603,25.2,11.6,24.9,9.0,27.9,18.5,24.52,507.0,16.9
Nikola Vucevic,57,29.5,.533,16.2,9.2,24.9,6.6,27.8,17.1,19.79,230.8,7.7
Bobby Portis,73,22.5,.548,11.1,9.3,24.7,10.0,23.0,16.3,19.78,202.9,6.8
Josh Jackson,77,25.4,.480,9.0,11.1,24.6,5.1,14.2,9.6,11.91,41.1,1.4
Jimmy Butler,59,36.7,.590,19.1,7.2,24.6,4.2,12.7,8.4,23.70,426.4,14.2
Julius Randle,82,26.7,.606,13.9,14.1,24.3,8.9,22.8,15.9,19.96,276.5,9.2
Dion Waiters,30,30.6,.487,18.1,11.2,24.3,1.0,8.5,4.7,10.59,1.3,0.0
Malik Monk,63,13.5,.477,15.6,8.4,24.2,1.0,7.5,4.2,10.32,-2.3,-0.1
Greg Monroe,51,20.4,.598,17.6,14.5,24.2,0.0,0.0,0.0,21.24,165.2,5.5
Dwyane Wade,67,22.9,.500,20.1,12.4,23.8,3.7,14.6,9.2,15.09,105.1,3.5
De'Aaron Fox,73,27.8,.478,23.3,12.6,23.5,1.8,10.0,5.7,11.28,8.4,0.3
Khris Middleton,82,36.4,.577,16.8,9.8,23.5,1.8,15.0,8.4,17.45,309.4,10.3
Ben Simmons,81,33.7,.557,31.7,13.3,23.5,5.9,19.5,13.0,20.03,368.4,12.3
Harrison Barnes,77,34.2,.539,9.4,7.3,23.5,3.1,17.1,9.9,15.89,212.1,7.1
Rudy Gay,57,21.6,.545,9.7,10.4,23.4,6.8,19.5,13.1,18.03,138.3,4.6
Kevin Love,59,28.0,.614,9.9,8.7,23.4,7.0,29.8,18.6,22.44,291.8,9.7
T.J. Warren,65,33.0,.541,6.3,6.2,23.3,6.1,10.5,8.3,17.71,230.5,7.7
Eric Gordon,69,31.2,.578,11.3,9.6,23.3,1.3,7.5,4.4,15.22,151.8,5.1
Jamal Crawford,80,20.7,.519,17.3,8.9,23.2,1.4,5.5,3.5,13.06,63.2,2.1
Aaron Gordon,58,32.9,.530,11.3,8.9,23.2,5.0,21.5,13.2,16.51,142.8,4.8
Buddy Hield,80,25.3,.557,12.4,9.9,23.2,3.0,14.8,8.6,16.13,170.2,5.7
Ricky Rubio,77,29.3,.537,26.4,13.3,23.2,2.2,15.3,8.8,15.43,148.9,5.0
Avery Bradley,46,31.2,.496,11.0,11.8,23.2,1.7,7.4,4.5,9.71,-16.9,-0.6
Tim Hardaway Jr.,57,33.1,.533,13.1,7.8,23.0,1.9,11.3,6.6,14.48,112.1,3.7
Hassan Whiteside,54,25.3,.573,6.7,11.4,22.9,14.3,36.6,25.4,24.18,276.5,9.2
Jabari Parker,31,24.0,.550,12.8,9.8,22.9,6.6,17.1,11.9,17.19,63.1,2.1
Jrue Holiday,81,36.1,.570,23.7,10.4,22.8,2.4,10.8,6.8,17.87,300.0,10.0
Frank Mason III,52,18.9,.480,22.9,10.1,22.7,3.3,12.1,7.5,13.02,29.7,1.0
Jordan Clarkson,81,23.3,.542,16.0,9.2,22.7,3.3,9.1,6.2,16.50,155.0,5.2
Dwight Howard,81,30.4,.577,7.1,14.1,22.7,11.0,33.8,22.2,20.56,366.1,12.2
Caris LeVert,71,26.3,.525,23.6,12.1,22.6,3.0,11.9,7.4,14.30,105.7,3.5
Kyle Lowry,78,32.2,.598,30.2,10.3,22.6,3.0,16.1,9.7,19.53,319.4,10.6
Elfrid Payton,63,28.7,.538,30.2,12.9,22.6,3.8,12.8,8.3,16.60,151.0,5.0
Jamal Murray,81,31.7,.576,16.9,10.6,22.5,3.6,9.4,6.5,16.17,197.9,6.6
Montrezl Harrell,76,17.0,.647,9.4,8.6,22.5,8.9,17.0,13.0,24.73,255.4,8.5
Brook Lopez,74,23.4,.557,11.6,9.0,22.4,4.6,13.4,9.0,16.52,153.4,5.1
Carmelo Anthony,78,32.1,.503,7.1,6.8,22.3,2.9,17.7,10.0,12.78,47.7,1.6
Evan Fournier,57,32.2,.577,14.5,8.3,22.2,1.4,9.5,5.4,15.61,140.1,4.7
Andrew Wiggins,82,36.3,.505,9.2,7.9,22.2,3.1,10.8,6.9,13.10,115.8,3.9
Kent Bazemore,65,27.5,.547,19.8,13.7,22.1,1.6,13.9,7.7,14.51,107.0,3.6
Tobias Harris,80,33.4,.565,11.9,6.5,22.0,2.4,15.8,9.0,17.20,266.8,8.9
Klay Thompson,73,34.3,.598,12.1,8.3,22.0,1.5,10.3,6.2,16.15,211.4,7.0
